Park Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Average
Obed W&SR,"232,768","206,337","242,682","175,800","185,176","182,504","192,154","212,933","180,203","212,458","212,446","198,367","215,767","214,441","231,390","214,783","217,530","221,301","237,837","247,826","211,735"
Ocmulgee Mounds NHP,"109,482","174,340","138,526","130,281","140,239","114,379","102,631","110,819","109,413","122,722","120,025","115,801","122,799","155,388","162,260","156,907","133,008","146,925","61,303","128,820","127,803"
Olympic NP,"3,691,310","3,225,327","3,073,722","3,142,774","2,749,197","2,988,686","3,081,451","3,276,459","2,844,563","2,966,502","2,824,908","3,085,340","3,243,872","3,263,761","3,390,221","3,401,996","3,104,455","3,245,806","2,499,177","2,718,925","3,090,923"
Oregon Caves NM & PRES,"84,520","94,745","83,701","83,811","78,900","76,966","73,774","88,496","86,335","76,194","78,164","72,717","69,405","72,709","80,613","72,212","67,417","65,006","22,789","34,202","73,134"
Organ Pipe Cactus NM,"294,434","277,566","229,584","280,068","313,103","341,594","340,290","330,064","209,602","211,405","161,743","206,860","224,548","222,723","234,186","260,534","260,375","263,186","191,512","190,848","252,211"
Ozark NSR,"1,607,279","1,301,415","1,317,746","1,554,729","1,491,380","1,789,783","1,243,507","1,308,718","1,416,529","1,365,960","1,406,781","1,253,703","1,296,437","1,277,941","1,241,480","1,165,296","1,264,657","1,221,489","1,316,795","1,328,773","1,358,520"
Padre Island NS,"532,843","568,737","643,792","666,580","730,994","658,317","635,925","642,163","612,716","542,873","573,855","515,830","578,815","582,839","634,012","650,197","616,033","576,299","617,704","615,826","609,818"
Palo Alto Battlefield NHP,,59,"28,175","29,913","32,117","21,676","45,026","41,599","26,865","24,752","36,707","32,522","41,516","47,866","58,556","84,361","82,488","149,733","97,860","128,852","53,192"
Paterson Great Falls NHP,,,,,,,,,,,,,,,"177,498","308,199","143,604","276,985","339,768","312,595","259,775"
Pea Ridge NMP,"81,815","70,678","61,449","65,557","66,177","68,840","68,464","68,746","115,128","114,234","131,907","95,251","104,686","114,578","119,490","121,163","101,969","102,753","80,455","82,854","91,810"
Pearl Harbor NMEM,"1,499,760","1,476,396","1,566,633","1,556,808","1,542,757","1,557,336","1,407,879","1,276,868","1,372,724","1,694,896","1,751,224","1,786,024","1,620,814","1,574,156","1,819,020","1,947,495","1,779,143","1,716,535","415,542","1,185,369","1,527,369"
Pecos NHP,"36,934","38,326","33,829","35,782","34,106","34,307","32,701","34,522","33,864","43,873","45,568","32,386","38,256","30,229","39,715","40,650","39,129","43,834","36,695","58,944","38,183"
Pennsylvania Avenue NHS,"172,574","164,340","209,005","212,141","191,677","226,908","239,785","256,874","262,030","236,136","283,232","257,831","54,035",0,0,"108,716","119,616","125,035","15,898",0,"156,792"
Perry's Victory & Intl. Peace MEM,"206,171","168,002","152,628","155,689","107,908","110,879","157,337","154,457","92,944","93,119","140,281","158,231","129,440","156,578","142,152","84,769","150,557","121,325","40,469","68,010","129,547"
Petersburg NB,"167,563","162,547","158,167","143,455","152,889","154,619","154,003","162,722","175,553","213,261","188,426","190,086","205,572","192,655","191,898","208,473","204,322","235,691","152,878","201,606","180,819"
Petrified Forest NP,"571,586","586,245","580,000","598,378","581,681","563,590","543,714","631,613","664,725","614,054","664,857","644,648","836,799","793,225","643,274","627,757","644,922","643,588","384,483","590,334","620,474"
Petroglyph NM,"59,222","58,101","97,498","102,623","121,825","112,868","116,620","118,688","105,643","114,428","119,444","115,075","115,859","117,825","124,177","141,803","268,613","293,957","356,492","364,211","151,249"
Pictured Rocks NL,"429,229","382,456","381,854","476,888","419,298","441,521","398,774","448,215","499,281","561,104","593,587","575,450","527,897","723,178","777,428","781,190","815,308","858,715","1,212,251","1,313,179","630,840"
Pinnacles NP,"162,266","162,791","157,397","170,994","158,824","161,019","166,988","171,112","246,575","393,219","224,476","237,677","196,635","206,533","215,555","233,334","222,152","177,224","165,740","348,857","208,968"
Pipe Spring NM,"54,734","56,341","57,569","54,704","50,923","46,574","47,418","49,433","59,952","57,360","54,692","51,118","56,484","54,619","46,710","29,065","25,179","27,482","10,623","24,026","45,750"
Pipestone NM,"84,299","82,290","81,773","69,820","66,867","72,422","80,137","69,539","78,108","61,908","76,030","64,760","62,151","70,748","67,489","76,486","73,267","77,508","38,229","82,344","71,809"
Piscataway Park,"229,607","184,823","190,745","176,174","199,443","184,636","324,394","234,186","248,314","279,060","124,107","161,999","109,473","148,729","123,381","154,011","146,364","329,729","166,484","279,538","199,760"
Point Reyes NS,"2,395,693","2,224,882","1,960,055","1,988,585","2,065,083","2,206,294","2,248,203","2,170,646","2,067,271","2,129,116","2,412,663","2,641,808","2,433,944","2,501,106","2,438,442","2,456,669","2,397,722","2,265,301","2,252,424","2,738,098","2,299,700"
Port Chicago Naval Magazine NMEM,,,,,,,,,984,545,533,596,786,963,"1,942","1,086",653,830,70,568,796
President W.J. Clinton Birthplace Home NHS,,,,,,,,,,"9,749","8,932","9,838","11,113","10,463","10,468","10,177","10,845","8,758","4,055","7,279","9,243"
President's Park,"853,993","723,575","1,333,967","1,204,270","1,061,387","1,058,774","1,178,845","1,475,182","616,635","786,151","600,083","658,065","723,923","903,161","989,424","1,477,913","1,035,737","715,911","369,533","395,915","908,122"
Prince William Forest Park,"248,577","212,180","220,044","232,213","209,312","295,853","345,361","368,365","386,521","379,535","280,325","309,298","315,072","312,109","344,435","360,540","313,629","339,693","333,903","325,248","306,611"
Pu'uhonua o Honaunau NHP,"377,125","596,961","819,221","476,237","485,145","489,785","414,667","397,665","419,590","426,224","442,353","363,282","401,808","437,286","421,027","505,735","462,974","414,410","130,845","250,919","436,663"
Pu'ukohola Heiau NHS,"60,851","103,040","101,092","112,137","98,026","104,907","92,584","99,042","129,886","133,306","134,403","125,645","134,734","139,586","138,565","147,259","145,585","133,573","23,970","24,326","109,126"
Rainbow Bridge NM,"167,736","98,865","73,675","81,206","87,642","81,607","95,567","113,460","104,501","92,311","75,214","54,773","62,910","77,270","86,369","108,418","110,904","115,108","3,573","3,290","84,720"
Redwood NP,"404,789","408,126","392,029","394,144","383,780","385,171","396,899","444,426","418,820","380,167","352,517","393,364","429,166","527,143","536,297","445,000","482,536","504,722","265,177","435,879","419,008"
Richmond NBP,"106,397","96,014","84,876","68,438","141,151","132,578","120,823","134,634","130,415","139,376","156,952","151,240","179,552","184,175","208,969","224,014","199,344","197,242","179,598","152,308","149,405"
Rio Grande W&SR,939,656,588,319,135,"1,660","1,606",947,"1,103",873,694,703,321,120,463,399,330,324,126,275,629
River Raisin NBP,,,,,,,,,,"36,206","50,667","57,464","55,281","109,118","202,375","238,813","240,548","226,354","309,977","263,472","162,752"
Rock Creek Park,"2,075,687","2,036,731","2,115,516","2,132,088","2,181,863","2,061,366","2,076,466","2,076,500","1,883,457","2,050,490","2,003,385","1,968,995","2,437,948","2,443,772","2,478,735","2,483,788","2,395,342","2,416,232","1,768,152","1,838,346","2,146,243"
Rocky Mountain NP,"2,988,475","3,067,256","2,781,899","2,798,368","2,743,676","2,895,383","2,757,390","2,822,325","2,955,821","3,176,941","3,229,617","2,991,141","3,434,751","4,155,916","4,517,585","4,437,215","4,590,493","4,670,053","3,305,199","4,434,848","3,437,718"
Roger Williams NMEM,"58,243","54,482","50,677","50,668","52,671","49,348","46,154","50,397","51,559","50,909","51,944","48,677","51,523","60,505","65,588","80,970","60,709","59,419","13,971","20,719","51,457"
Rosie The Riveter WWII Home Front NHP,,,,,,,,,,,,"31,514","45,549","56,362","64,425","60,927","57,852","50,404","9,528","19,038","43,955"
Ross Lake NRA,"387,216","346,542","313,497","279,581","265,022","290,701","253,333","288,458","682,736","728,353","742,200","725,917","710,612","772,579","905,418","759,656","892,044","1,088,528","920,526","855,926","610,442"
Russell Cave NM,"27,912","22,892","22,350","23,496","24,851","49,164","36,375","24,087","23,374","20,717","20,954","20,456","18,530","19,430","24,649","24,377","21,620","16,642","8,462","22,393","23,637"
Sagamore Hill NHS,"42,526","42,396","41,082","38,009","43,719","43,698","53,772","53,800","55,149","53,336","20,097","14,639","19,319","42,326","53,920","55,186","39,970","36,738","105,289","207,032","53,100"
Saguaro NP,"615,045","643,697","651,464","727,208","619,983","658,477","699,137","665,234","717,614","610,045","634,286","678,261","673,572","753,446","820,426","964,760","957,405","1,020,226","762,226","1,079,786","747,615"
Saint Croix Island IHS,,,,,,,,,,,,"10,709","11,588","12,557","13,857","11,872","12,001","11,613","6,914","10,299","11,268"
Saint Croix NSR,"279,060","282,838","313,904","521,695","506,841","519,330","523,595","564,326","188,400","273,729","221,028","342,942","671,582","623,122","708,258","772,475","724,644","638,258","798,622","732,100","510,337"
Saint Paul's Church NHS,"14,573","11,473","13,938","13,869","14,431","14,909","14,538","14,432","16,362","14,926","16,188","14,016","16,460","17,180","20,830","21,190","21,630","18,537","5,968","5,022","15,024"
Saint-Gaudens NHP,"34,239","30,907","30,725","26,943","25,858","29,091","29,819","34,558","30,941","32,695","33,663","37,837","37,785","39,242","42,377","37,556","35,218","31,759","13,286","26,058","32,028"
Salem Maritime NHS,"759,402","649,132","782,791","676,216","761,945","843,520","856,935","723,088","806,506","737,073","756,038","426,328","403,758","264,780","371,989","373,630","300,475","339,238","125,554","181,008","556,970"
Salinas Pueblo Missions NM,"35,670","33,827","34,216","34,810","32,996","33,060","31,248","37,848","32,941","29,786","29,228","24,836","30,537","29,672","32,414","35,148","34,629","31,672","26,982","38,080","32,480"
Salt River Bay NHP & Ecological Pres,,,,,"2,526","1,455","2,184","2,540",204,"2,419","5,217","4,791","5,192","8,108","16,449","10,567","4,884","5,215","2,704","10,707","5,323"
San Antonio Missions NHP,"1,481,462","1,330,326","1,102,445","1,139,133","1,173,771","1,208,498","1,303,212","1,567,667","1,304,690","568,021","614,810","521,705","1,395,337","1,322,154","1,358,911","1,381,383","1,208,104","1,281,121","1,141,353","1,335,071","1,186,959"
San Francisco Maritime NHP,"3,558,544","3,984,826","4,055,479","3,976,056","3,984,645","4,042,022","4,086,211","4,152,497","4,130,970","4,224,897","4,129,983","4,154,455","4,256,888","4,173,014","4,334,752","4,493,519","4,223,542","4,016,598","1,936,101","2,827,885","3,937,144"
San Juan Island NHP,"255,215","246,150","270,969","246,780","258,804","273,289","255,492","274,642","263,370","266,717","261,139","220,960","268,946","258,668","316,122","267,209","255,032","292,507","426,335","638,066","290,821"
San Juan NHS,"1,278,407","1,198,105","1,072,829","1,054,492","1,167,558","1,025,407","1,135,577","1,069,673","1,105,252","1,229,590","1,279,814","1,328,802","1,382,906","1,532,818","1,456,553","1,188,780","910,405","1,197,345","357,100","798,188","1,138,480"
Sand Creek Massacre NHS,,,,,,,,,"4,063","3,935","4,384","4,795","7,402","5,887","6,847","6,535","6,006","5,701","4,215","6,201","5,498"
Santa Monica Mountains NRA,"469,376","447,776","525,859","447,190","534,378","577,686","419,374","501,573","568,371","609,636","649,471","633,054","694,714","797,126","906,606","897,593","867,154","707,566","733,576","830,451","640,927"
Saratoga NHP,"142,812","106,862","114,007","98,394","99,581","106,708","88,834","89,366","63,719","65,043","57,688","54,364","58,773","65,010","102,808","97,781","135,444","145,118","73,825","70,682","91,841"
Saugus Iron Works NHS,"17,243","14,001","16,316","14,522","11,153","4,377","12,433","10,529","10,775","11,121","11,611","8,154","11,181","9,327","11,159","12,256","10,660","8,150","16,928","20,487","12,119"
Scotts Bluff NM,"111,293","105,611","107,715","99,567","98,352","111,890","111,849","121,391","133,795","128,811","122,515","108,127","119,159","131,122","130,085","152,560","142,028","166,007","181,900","194,027","128,890"
Sequoia NP,"920,292","979,297","1,000,177","1,004,843","954,507","979,537","930,011","965,170","1,002,979","1,006,583","1,106,584","909,274","1,039,137","1,097,464","1,254,688","1,291,256","1,229,594","1,246,053","796,086","1,059,548","1,038,654"
Shenandoah NP,"1,389,244","1,163,950","1,261,000","1,094,912","1,076,150","1,107,227","1,075,878","1,120,981","1,253,386","1,209,883","1,210,200","1,136,505","1,255,321","1,321,873","1,437,341","1,458,874","1,264,880","1,425,507","1,666,265","1,592,312","1,276,084"
Shiloh NMP,"371,118","391,346","311,149","315,296","335,657","368,742","357,340","404,134","317,046","387,816","587,620","536,206","409,086","356,535","421,862","435,107","376,099","360,989","386,883","371,863","390,095"
Sitka NHP,"295,094","251,036","297,139","291,610","331,393","304,799","241,407","246,866","189,176","186,864","195,157","161,157","157,297","185,150","217,141","194,880","197,017","232,876","115,494","96,793","219,417"
Sleeping Bear Dunes NL,"1,170,873","1,153,962","1,114,615","1,222,313","1,213,026","1,134,314","1,008,135","1,165,836","1,280,932","1,348,304","1,531,560","1,340,007","1,395,401","1,535,633","1,683,553","1,678,126","1,643,600","1,570,001","1,718,696","1,722,955","1,381,592"
Springfield Armory NHS,"36,680","29,814","33,393","14,389","17,115","13,548","17,358","17,779","16,876","16,161","16,978","17,782","20,595","21,825","22,434","25,109","20,104","20,979","1,032","13,557","19,675"
Statue of Liberty NM,"3,408,560","3,231,247","3,618,053","4,235,595","3,263,585","3,380,296","3,555,244","3,829,483","3,833,288","3,749,982","3,029,443","1,883,544","4,198,815","4,279,020","4,501,547","4,441,988","4,335,431","4,240,461","576,396","1,556,482","3,457,423"
Steamtown NHS,"127,766","114,855","106,433","88,031","61,178","70,726","71,123","65,144","104,855","111,725","106,309","81,174","84,257","89,592","99,660","103,956","97,950","105,403","27,322","54,433","88,595"
Stones River NB,"187,941","201,576","206,638","206,425","201,016","196,061","198,918","189,952","187,559","187,208","260,537","258,242","272,499","264,925","346,213","230,562","266,503","284,516","301,270","365,833","240,720"
Stonewall NM,,,,,,,,,,,,,,,,"106,791","511,220","2,088,929",0,"70,000","555,388"
Sunset Crater Volcano NM,"150,664","159,073","126,911","229,913","221,406","231,855","209,399","187,397","158,819","185,265","177,793","184,864","176,723","182,203","60,233","119,454","104,583","108,379","83,669","125,653","159,213"
Tallgrass Prairie NPRES,"16,385","16,762","15,281","17,615","27,260","23,000","20,075","23,713","22,047","17,893","18,918","16,128","17,776","29,558","29,378","30,773","27,715","33,750","29,009","35,001","23,402"
Thaddeus Kosciuszko NMEM,"6,390","4,675","4,686","4,107","3,990","4,633","3,918","3,357","2,888","1,949","2,045","1,682","1,475","1,261","2,794","2,293","2,077","1,921",0,0,"2,807"
Theodore Roosevelt Birthplace NHS,"9,376","10,175","11,082","11,158","10,713","13,098","18,590","14,390","15,029","6,537","17,930","18,676","21,065","6,685","6,582","24,884","23,155","25,978","4,984","1,720","13,590"
Theodore Roosevelt Inaugural NHS,"15,634","15,920","13,898","13,032","13,218","14,147",834,"11,735","17,491","17,107","18,875","19,198","22,025","24,896","29,199","28,585","27,508","26,994","5,098","13,323","17,436"
Theodore Roosevelt Island,"173,996","172,113","144,226","111,879","103,324","109,894","109,156","141,559","116,035","137,690","149,754","162,599","146,500","159,740","164,360","168,195","151,500","151,500","153,598","169,444","144,853"
Theodore Roosevelt NP,"471,551","490,295","474,589","493,198","435,359","456,588","516,804","586,928","623,748","563,407","640,555","545,090","559,580","580,033","753,880","708,003","749,389","691,658","551,303","796,085","584,402"
Thomas Edison NHP,"54,935","3,359",0,0,"8,753","9,342","8,027","27,061","63,009","55,284","52,554","46,677","51,344","56,317","57,694","59,323","47,297","42,224","7,605","14,807","33,281"
Thomas Jefferson MEM,"2,066,932","1,642,293","2,200,371","2,312,726","2,219,255","2,327,254","2,363,263","2,337,868","2,305,856","1,945,696","2,613,131","2,609,463","2,708,607","3,102,442","3,414,345","3,366,571","3,198,859","3,096,895","852,626","1,833,924","2,425,919"
Thomas Stone NHS,"4,824","4,801","5,940","4,500","5,019","4,886","5,720","6,268","6,004","6,351","6,426","6,013","5,843","5,772","10,652","10,250","8,254","8,020","2,351","3,967","6,093"
Timpanogos Cave NM,"114,736","106,030","107,170","104,517","110,840","114,737","123,682","138,571","120,241","96,965","118,764","91,269","95,679","104,023","91,261","100,740","121,311","103,512","92,481","122,551","108,954"
Timucuan EHP,"655,335","810,821","750,230","903,177","1,011,989","999,833","1,038,888","1,195,171","993,948","1,028,922","1,076,310","1,031,667","1,121,318","1,239,423","1,148,494","1,218,306","1,134,857","1,205,065","1,017,373","935,419","1,025,827"
Tonto NM,"57,328","59,216","63,217","75,140","63,733","56,174","63,553","60,534","60,497","53,426","51,881","39,632","36,360","37,523","38,048","40,898","39,822","28,853","24,756","32,334","49,146"
Tule Springs Fossil Beds NM,,,,,,,,,,,,,,,,,,,,"11,953","11,953"
Tumacacori NHP,"48,438","52,393","48,502","44,022","45,015","45,484","45,079","40,637","39,866","33,740","35,158","31,433","38,017","42,146","43,829","46,308","40,810","39,704","23,726","33,357","40,883"
Tuskegee Airmen NHS,,"11,085","11,495","10,323","11,345","14,685","50,331","58,417","60,827","16,244","23,716","19,301","24,319","22,662","31,133","39,322","26,829","30,097","6,843","8,057","25,107"
Tuskegee Institute NHS,"49,114","59,413","52,752","70,032","72,778","75,450","52,027","31,360","23,230","23,288","24,030","47,766","11,786","7,961","8,452","20,407","37,486","36,395","4,737","5,629","35,705"
Tuzigoot NM,"112,167","115,216","114,486","108,262","115,213","107,796","102,811","106,250","103,274","101,104","97,388","85,746","74,903","95,065","104,604","109,388","98,090","98,538","78,358","124,406","102,653"
Ulysses S. Grant NHS,"25,531","22,248","22,797","24,868","25,758","46,398","45,959","40,703","39,967","35,664","39,373","38,604","40,287","39,048","46,071","59,761","43,602","39,449","15,236","27,823","35,957"
Upper Delaware S&RR,"296,095","256,987","225,565","248,953","200,338","248,284","284,347","258,311","306,468","270,390","255,586","228,464","230,845","243,246","264,362","253,537","220,966","215,537","250,198","269,810","251,414"
Valles Caldera NPRES,,,,,,,,,,,,,,,,,,,"30,434","76,578","53,506"
Valley Forge NHP,"1,158,423","1,132,976","1,088,271","1,293,001","1,340,679","1,298,161","1,275,871","1,449,228","1,617,511","1,303,046","1,442,750","1,962,889","1,990,881","2,143,965","2,428,724","2,159,592","1,881,362","2,259,944","2,012,832","1,502,209","1,637,116"
Vanderbilt Mansion NHS,"403,016","359,982","405,264","372,517","391,899","398,125","360,334","380,460","390,525","367,680","423,107","372,569","398,447","431,961","387,856","360,436","340,870","326,822","217,231","333,029","371,107"
Vicksburg NMP,"1,023,370","901,672","958,081","703,484","676,605","699,314","555,109","584,105","581,459","796,035","573,262","573,838","550,874","532,444","508,914","475,074","474,387","576,456","176,236","391,947","615,633"
Vietnam Veterans MEM,"3,296,596","2,839,006","3,789,889","3,799,968","3,629,739","3,633,793","4,243,573","4,437,771","4,555,371","4,020,127","4,424,407","4,142,721","4,403,467","5,597,077","5,299,713","5,072,589","4,719,148","4,580,587","1,585,525","3,636,033","4,085,355"
Virgin Islands NP,"693,494","821,681","793,590","803,040","677,289","571,382","469,034","415,847","493,477","442,414","483,341","438,601","426,930","438,372","411,343","304,408","112,287","133,398","167,540","323,999","471,073"
Voyageurs NP,"238,227","234,231","249,041","234,577","231,875","220,650","221,585","222,429","253,891","177,184","214,841","233,390","239,160","238,313","241,912","237,250","239,656","232,974","263,091","243,042","233,366"
Waco Mammoth NM,,,,,,,,,,,,,,"20,551","69,510","101,792","106,932","111,331","46,457","81,338","76,844"
Walnut Canyon NM,"106,962","111,465","126,931","128,275","120,820","126,187","101,833","128,299","126,552","125,003","110,748","125,267","135,230","153,322","152,444","165,134","167,736","152,333","107,422","212,328","134,215"
War in the Pacific NHP,"152,881","1,698","11,832","30,332","40,005","209,661","187,005","271,608","219,349","482,391","255,923","266,267","266,191","322,463","488,988","384,610","387,856","432,213","318,711","367,150","254,857"
Washington Monument,"454,768","529,985","378,416","467,550","586,603","591,081","671,031","676,002","628,665","430,153",0,0,"423,170","493,550","252,677",0,0,"108,410","83,585","63,840","341,974"
Washita Battlefield NHS,"15,374","15,467","14,733","15,311","14,408","13,928","14,579","10,527","12,552","10,995","10,615","8,434","13,186","12,067","12,312","11,831","13,437","9,119","12,520","15,237","12,832"
Weir Farm NHP,"16,113","15,455","11,333","11,129","11,795","12,536","18,522","19,386","19,313","22,415","21,465","22,862","34,082","47,220","39,079","38,096","35,382","38,700","25,430","31,512","24,591"
Whiskeytown NRA,"696,590","750,951","745,185","740,275","749,979","782,014","676,281","853,812","788,065","761,710","814,374","776,025","851,901","843,845","875,565","832,063","585,768","687,159","805,295","816,608","771,673"
White House,"178,092","182,542","357,250","455,643","481,951","491,229","519,011","616,890","922,335","570,057","656,949","231,627","569,391","526,263","611,207","439,725","485,974","454,117","114,519","14,205","443,949"
White Sands NP,"498,964","492,008","448,185","450,447","440,927","437,042","438,511","471,167","470,921","428,924","447,385","490,544","503,660","497,506","555,793","612,468","603,008","608,785","415,383","782,469","504,705"
Whitman Mission NHS,"61,293","56,009","56,169","55,826","52,849","49,337","53,356","52,605","58,521","57,611","60,785","57,686","58,499","39,525","50,148","47,757","49,274","48,481","34,933","43,921","52,229"
William Howard Taft NHS,"13,401","16,275","16,347","14,328","14,720","17,365","16,968","18,802","21,163","21,141","19,416","21,102","23,609","24,385","30,723","37,425","30,202","32,396","11,100","17,042","20,896"
Wilson's Creek NB,"203,356","200,081","162,798","207,199","141,677","121,878","120,670","156,230","185,200","192,865","167,205","157,309","161,058","161,004","183,698","206,346","220,276","232,838","287,260","271,245","187,010"
Wind Cave NP,"810,298","874,167","593,877","612,478","591,049","603,158","573,433","587,868","577,141","538,394","529,083","516,142","547,022","612,198","617,377","619,924","656,397","615,350","448,405","709,001","611,638"
Wolf Trap NP for the Performing Arts,"566,654","554,646","541,597","554,386","490,547","503,016","487,197","466,752","520,397","425,177","426,996","441,166","388,283","407,351","437,513","424,364","365,540","402,580","30,073","247,862","434,105"
Women's Rights NHP,"21,880","19,426","19,772","18,239","16,146","18,657","23,093","20,620","22,662","25,426","29,585","30,137","30,254","38,139","52,683","61,806","42,784","39,064","8,237","22,847","28,073"
World War I Memorial,,,,,,,,,,,,,,,,,,,,"573,088","573,088"
World War II Memorial,,,"5,382,498","4,410,379","3,865,430","4,079,606","4,153,749","4,118,528","3,964,351","3,752,172","4,161,685","3,934,166","4,230,793","5,068,224","4,856,532","4,876,842","4,652,865","4,831,327","1,924,128","3,727,167","4,221,691"
Wrangell-St. Elias NP & PRES,"40,352","43,311","57,221","56,224","50,336","61,085","65,693","59,966","73,170","65,225","87,158","69,984","74,722","80,366","79,047","68,292","79,450","74,518","16,655","50,189","62,648"
Wright Brothers NMEM,"440,737","712,181","421,341","458,948","466,144","494,331","527,721","476,291","476,200","445,455","466,816","447,796","430,517","437,184","458,776","414,244","360,669","400,135","277,963","482,191","454,782"
Wupatki NM,"236,394","266,159","247,971","219,480","236,449","239,603","239,157","233,284","221,083","216,165","201,365","190,878","195,962","212,828","223,172","236,454","205,122","187,059","146,074","207,445","218,105"
Yellowstone NP,"2,973,677","3,019,375","2,868,317","2,835,651","2,870,295","3,151,343","3,066,580","3,295,187","3,640,185","3,394,326","3,447,729","3,188,030","3,513,484","4,097,710","4,257,177","4,116,524","4,115,000","4,020,288","3,806,306","4,860,242","3,526,871"
Yosemite NP,"3,361,867","3,378,664","3,280,911","3,304,144","3,242,644","3,503,428","3,431,514","3,737,472","3,901,408","3,951,393","3,853,404","3,691,191","3,882,642","4,150,217","5,028,868","4,336,890","4,009,436","4,422,861","2,268,313","3,287,595","3,701,243"
Yukon-Charley Rivers NPRES,"5,144","5,552","4,260","12,784","12,083","11,567","4,942","6,432","6,211","1,718","1,393","3,914","2,329","1,133","1,146",952,"1,272","1,114",666,629,"4,262"
Zion NP,"2,592,545","2,458,792","2,677,342","2,586,665","2,567,350","2,657,281","2,690,154","2,735,402","2,665,972","2,825,505","2,973,607","2,807,387","3,189,696","3,648,846","4,295,127","4,504,812","4,320,033","4,488,268","3,591,254","5,039,835","3,265,794"
