Park Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Average
Castillo de San Marcos NM,"668,298","665,309","643,594","600,252","630,903","632,048","618,769","667,783","708,549","741,042","727,243","778,128","760,708","819,154","854,664","876,975","748,058","673,395","251,061","498,623","678,228"
Castle Clinton NM,"2,976,795","2,941,250","2,949,231","3,487,307","3,415,397","3,509,468","3,727,030","4,080,152","4,126,378","3,985,366","3,264,439","2,180,694","4,727,110","4,597,029","4,812,930","4,737,113","4,533,564","4,361,034","633,793","1,665,660","3,535,587"
Catoctin Mountain Park,"457,641","621,114","699,274","515,193","526,898","591,191","466,926","440,294","385,745","264,460","263,797","175,213","188,170","229,301","221,750","236,243","299,860","296,846","539,983","520,339","397,012"
Cedar Breaks NM,"586,938","569,455","516,331","505,158","488,376","514,871","538,016","492,353","525,831","493,147","631,809","466,450","762,907","793,601","899,676","909,199","644,515","579,861","845,867","772,886","626,862"
Cesar E. Chavez NM,,,,,,,,,,,,"8,157","8,854","10,648","17,216","15,472","12,769","16,490","5,668","9,164","11,604"
Chaco Culture NHP,"79,171","84,621","71,812","45,539","37,923","68,211","37,180","37,376","34,226","39,175","39,044","29,917","38,386","38,914","54,084","55,334","57,781","47,342","8,231","31,922","46,809"
Chamizal NMEM,"221,604","260,142","244,496","231,380","221,048","218,195","197,767","215,852","226,535","113,817","104,148","121,937","108,399","122,431","147,937","86,400","66,479","38,228","19,180","19,600","149,279"
Channel Islands NP,"613,935","585,919","537,716","434,107","375,256","360,806","332,177","348,745","277,515","242,756","249,594","212,029","342,161","324,816","364,807","383,687","366,250","409,630","167,290","319,252","362,422"
Charles Pinckney NHS,"29,647","22,871","19,064","36,969","36,556","41,393","44,072","43,447","44,081","45,254","44,314","47,309","53,486","46,995","53,184","53,744","34,354","35,495","23,723","24,854","39,041"
Charles Young Buffalo Soldiers NM,,,,,,,,,,,,,,"3,993","10,211","12,405","31,448","14,106","2,461","8,110","11,819"
Chattahoochee River NRA,"2,806,578","2,694,541","2,672,138","2,511,306","2,842,670","2,836,077","2,826,171","2,830,655","3,011,393","3,161,297","3,168,137","3,039,892","3,119,160","3,173,204","2,736,385","2,768,499","2,873,866","3,393,133","3,066,877","3,256,151","2,939,407"
Chesapeake & Ohio Canal NHP,"3,202,378","2,801,592","2,918,399","3,000,005","3,039,178","2,809,968","3,111,468","3,751,681","4,111,238","3,937,504","4,712,377","4,941,367","5,066,219","4,798,312","4,813,078","4,859,573","4,438,818","5,116,787","4,888,436","5,005,217","4,066,180"
Chickamauga & Chattanooga NMP,"916,738","887,548","914,836","901,384","919,892","991,645","993,535","992,448","991,901","1,036,699","1,032,844","905,984","996,694","1,002,373","1,027,738","994,537","945,962","977,158","678,414","945,390","952,686"
Chickasaw NRA,"1,510,019","1,391,334","1,275,733","1,295,212","1,343,793","1,368,806","1,230,609","1,238,484","1,253,637","1,212,139","1,487,039","1,099,669","1,152,083","1,254,105","1,676,421","1,533,684","1,477,906","1,422,612","1,348,122","1,517,102","1,354,425"
Chiricahua NM,"67,040","44,976","37,586","60,224","61,579","58,434","56,557","60,851","55,436","37,037","41,159","40,646","45,125","56,960","51,277","63,132","60,577","60,655","44,794","53,413","52,873"
Christiansted NHS,"110,209","107,907","109,034","106,015","100,868","101,522","105,136","114,743","117,214","119,335","126,962","118,638","109,159","116,817","115,446","96,779","107,494","103,594","23,816","91,200","105,094"
City of Rocks NRES,"78,334","79,879","76,586","67,235","77,131","79,533","85,893","96,649","92,484","95,764","98,996","94,906","94,825","105,289","107,865","130,276","142,250","99,311","110,203","97,376","95,539"
Clara Barton NHS,"17,778","15,001","13,513","12,529","12,495","10,106","9,007","10,986","23,741","15,620","25,347","22,737","20,028","2,823",0,0,425,"4,100",450,0,"10,834"
Colonial NHP,"3,324,188","3,329,139","3,327,573","3,338,695","3,344,018","3,343,910","3,332,039","3,324,751","3,459,965","3,414,577","3,274,187","3,168,731","3,335,060","3,343,909","3,352,656","3,333,448","3,294,224","3,327,268","2,946,594","3,114,420","3,301,468"
Colorado NM,"294,033","336,642","352,579","347,136","332,654","395,260","390,972","400,266","433,561","435,460","454,510","409,351","416,862","588,006","391,075","375,035","375,467","397,032","435,625","499,841","403,068"
Congaree NP,"101,620","107,114","126,247","84,301","134,045","115,524","104,913","122,970","121,208","120,166","109,685","120,340","120,122","87,513","143,843","159,595","145,929","159,445","119,306","215,181","125,953"
Coronado NMEM,"87,311","89,309","89,591","86,618","71,111","71,702","91,028","106,409","136,284","153,042","97,579","92,936","118,838","132,584","136,075","131,614","103,218","130,328","156,199","129,758","110,577"
Cowpens NB,"214,257","228,162","208,565","208,936","143,664","197,255","235,176","224,394","226,868","223,923","231,973","216,239","200,836","206,740","213,299","212,692","189,410","223,413","226,903","204,811","211,876"
