NUMBER,UNIT_NAME,STATE,NPS REGION,NPCA REGION,COMMON NAME,SPECIES,TAXA,STATUS
361,Colorado National Monument,CO,Intermountain ,Southwest,Preble's meadow jumping mouse,Zapus hudsonius preblei,Mammals,Threatened
362,Congaree National Park,SC,Southeast,Southeast,Bachman's warbler (=wood),Vermivora bachmanii,Birds,Endangered
363,Congaree National Park,SC,Southeast,Southeast,American chaffseed,Schwalbea americana,Flowering Plants,Endangered
364,Congaree National Park,SC,Southeast,Southeast,Smooth coneflower,Echinacea laevigata,Flowering Plants,Endangered
365,Congaree National Park,SC,Southeast,Southeast,Carolina heelsplitter,Lasmigona decorata,Clams and Mussels,Endangered
366,Congaree National Park,SC,Southeast,Southeast,Canby's dropwort,Oxypolis canbyi,Flowering Plants,Endangered
367,Congaree National Park,SC,Southeast,Southeast,Shortnose sturgeon,Acipenser brevirostrum,Fishes,Endangered
368,Coronado National Memorial,AZ,Intermountain ,Southwest,Huachuca water-umbel,Lilaeopsis schaffneriana var. recurva,Flowering Plants,Endangered
369,Coronado National Memorial,AZ,Intermountain ,Southwest,Lesser long-nosed bat,Leptonycteris curasoae yerbabuenae,Mammals,Endangered
370,Coronado National Memorial,AZ,Intermountain ,Southwest,Mexican spotted owl,Strix occidentalis lucida,Birds,Threatened
371,Coronado National Memorial,AZ,Intermountain ,Southwest,Chiricahua leopard frog,Rana chiricahuensis,Amphibians,Threatened
372,Coronado National Memorial,AZ,Intermountain ,Southwest,Sonora tiger Salamander,Ambystoma tigrinum stebbinsi,Amphibians,Endangered
373,Coronado National Memorial,AZ,Intermountain ,Southwest,Northern Aplomado Falcon,Falco femoralis septentrionalis,Birds,Endangered; Experimental
374,Cowpens National Battlefield,SC,Southeast,Southeast,Dwarf-flowered heartleaf,Hexastylis naniflora,Flowering Plants,Threatened
375,Crater Lake National Park,OR,Pacific West ,Northwest,Northern spotted owl,Strix occidentalis caurina,Birds,Threatened
376,Crater Lake National Park,OR,Pacific West ,Northwest,Oregon spotted frog,Rana pretiosa,Amphibians,Threatened
377,Crater Lake National Park,OR,Pacific West ,Northwest,Gray Wolf,Canis lupus ,Mammals,Endangered
378,Cumberland Gap National Historical Park,KY,Southeast,Southeast,Birdwing pearlymussel,Lemiox rimosus,Clams and Mussels,Endangered; Experimental
379,Cumberland Gap National Historical Park,"KY, TN, VA",Southeast,"Southeast, Mid-Atlantic",Blackside dace,Phoxinus cumberlandensis,Fishes,Threatened
380,Cumberland Gap National Historical Park,KY,Southeast,Southeast,Cumberland monkeyface (pearlymussel),Quadrula intermedia,Clams and Mussels,Endangered; Experimental
381,Cumberland Gap National Historical Park,KY,Southeast,Southeast,Dromedary pearlymussel,Dromus dromas,Clams and Mussels,Endangered
382,Cumberland Gap National Historical Park,KY,Southeast,Southeast,Finerayed pigtoe,Fusconaia cuneolus,Clams and Mussels,Endangered; Experimental
383,Cumberland Gap National Historical Park,KY,Southeast,Southeast,Fluted kidneyshell,Ptychobranchus subtentum,Clams and Mussels,Endangered
384,Cumberland Gap National Historical Park,KY,Southeast,Southeast,Orangefoot pimpleback (pearlymussel),Plethobasus cooperianus,Clams and Mussels,Endangered
385,Cumberland Gap National Historical Park,KY,Southeast,Southeast,Gray bat,Myotis grisescens,Mammals,Endangered
386,Cumberland Gap National Historical Park,KY,Southeast,Southeast,Purple bean,Villosa perpurpurea,Clams and Mussels,Endangered
387,Cumberland Gap National Historical Park,KY,Southeast,Southeast,Purple Cat's paw (=Purple Cat's paw pearlymussel),Epioblasma obliquata obliquata,Clams and Mussels,Endangered; Experimental
388,Cumberland Gap National Historical Park,KY,Southeast,Southeast,Sheepnose Mussel,Plethobasus cyphyus,Clams and Mussels,Endangered
389,Cumberland Gap National Historical Park,KY,Southeast,Southeast,Shiny pigtoe,Fusconaia cor,Clams and Mussels,Endangered; Experimental
390,Cumberland Gap National Historical Park,KY,Southeast,Southeast,Slabside Pearlymussel,Pleuronaia dolabelloides,Clams and Mussels,Endangered
391,Cumberland Gap National Historical Park,KY,Southeast,Southeast,Slender chub,Erimystax cahni,Fishes,Threatened; Experimental
392,Cumberland Gap National Historical Park,KY,Southeast,Southeast,Snuffbox mussel,Epioblasma triquetra,Clams and Mussels,Endangered
393,Cumberland Gap National Historical Park,KY,Southeast,Southeast,Spotfin Chub,Erimonax monachus,Fishes,Threatened; Experimental
394,Cumberland Island National Seashore,GA,Southeast,Southeast,Piping Plover,Charadrius melodus,Birds,Endangered; Threatened
395,Cumberland Island National Seashore,GA,Southeast,Southeast,North Atlantic Right Whale,Eubalaena glacialis,Mammals,Endangered
396,Cumberland Island National Seashore,GA,Southeast,Southeast,Gopher tortoise,Gopherus polyphemus,Reptiles,Threatened; Candidate
397,Cumberland Island National Seashore,GA,Southeast,Southeast,Leatherback sea turtle,Dermochelys coriacea,Reptiles,Endangered
398,Cumberland Island National Seashore,GA,Southeast,Southeast,Loggerhead sea turtle,Caretta caretta,Reptiles,Endangered; Threatened
399,Cumberland Island National Seashore,GA,Southeast,Southeast,Finback whale,Balaenoptera physalus,Mammals,Endangered
400,Curecanti National Recreation Area,CO,Intermountain ,Southwest,Gunnison sage-grouse,Centrocercus minimus,Birds,Threatened
401,Curecanti National Recreation Area,CO,Intermountain ,Southwest,Yellow-billed Cuckoo,Coccyzus americanus,Birds,Threatened
402,Curecanti National Recreation Area,CO,Intermountain ,Southwest,Preble's meadow jumping mouse,Zapus hudsonius preblei,Mammals,Threatened
403,Cuyahoga Valley National Park,OH,Midwest,Midwest,Kirtland's Warbler,Setophaga kirtlandii (= Dendroica kirtlandii),Birds,Endangered
404,Cuyahoga Valley National Park,OH,Midwest,Midwest,Northern wild monkshood,Aconitum noveboracense,Flowering Plants,Threatened
405,Cuyahoga Valley National Park,OH,Midwest,Midwest,Purple Cat's paw (=Purple Cat's paw pearlymussel),Epioblasma obliquata obliquata,Clams and Mussels,Endangered; Experimental
406,Cuyahoga Valley National Park,OH,Midwest,Midwest,Northern Long-Eared Bat,Myotis septentrionalis,Mammals,Threatened 
407,De Soto National Memorial,FL,Southeast,Sun Coast,Eastern indigo snake,Drymarchon corais couperi,Reptiles,Threatened
408,De Soto National Memorial,FL,Southeast,Sun Coast,Florida bonamia,Bonamia grandiflora,Flowering Plants,Threatened
409,De Soto National Memorial,FL,Southeast,Sun Coast,Florida golden aster,Chrysopsis floridana,Flowering Plants,Endangered
410,De Soto National Memorial,FL,Southeast,Sun Coast,West Indian Manatee,Trichechus manatus,Mammals,Threatened
411,De Soto National Memorial,FL,Southeast,Sun Coast,American chaffseed,Schwalbea americana,Flowering Plants,Endangered
412,De Soto National Memorial,FL,Southeast,Sun Coast,Gopher tortoise,Gopherus polyphemus,Reptiles,Threatened; Candidate
413,De Soto National Memorial,FL,Southeast,Sun Coast,Florida scrub-jay,Aphelocoma coerulescens,Birds,Threatened
414,De Soto National Memorial,FL,Southeast,Sun Coast,Florida perforate cladonia,Cladonia perforata,Flowering Plants,Endangered
415,De Soto National Memorial,FL,Southeast,Sun Coast,Pygmy fringe-tree,Chionanthus pygmaeus,Flowering Plants,Endangered
416,De Soto National Memorial,FL,Southeast,Sun Coast,Audubon's crested caracara,Polyborus plancus audubonii,Birds,Threatened
417,Death Valley National Park,"CA, NV",Pacific West ,Pacific,Ash Meadows Amargosa pupfish,Cyprinodon nevadensis mionectes,Fishes,Endangered
418,Death Valley National Park,"CA, NV",Pacific West ,Pacific,Ash meadows milk-vetch,Astragalus phoenix,Flowering Plants,Threatened
419,Death Valley National Park,"CA, NV",Pacific West ,Pacific,Ash Meadows sunray,Enceliopsis nudicaulis var. corrugata,Flowering Plants,Threatened
420,Death Valley National Park,"CA, NV",Pacific West ,Pacific,Desert tortoise,Gopherus agassizii,Reptiles,Threatened
421,Death Valley National Park,"CA, NV",Pacific West ,Pacific,Devils Hole pupfish,Cyprinodon diabolis,Fishes,Endangered
422,Death Valley National Park,"CA, NV",Pacific West ,Pacific,Spring-loving centaury,Centaurium namophilum,Flowering Plants,Threatened
423,Death Valley National Park,CA,Pacific West ,Pacific,Amargosa niterwort,Nitrophila mohavensis,Flowering Plants,Endangered
424,Death Valley National Park,CA,Pacific West ,Pacific,Ash Meadows blazingstar,Mentzelia leucophylla,Flowering Plants,Threatened
425,Delaware Water Gap National Recreation Area,PA,Northeast,Mid-Atlantic,bog turtle,Clemmys muhlenbergii,Reptiles,Threatened; Similarity of Appearance (Threatened)
426,Delaware Water Gap National Recreation Area,PA,Northeast,Mid-Atlantic,Dwarf wedgemussel,Alasmidonta heterodon,Clams and Mussels,Endangered
427,Devils Postpile National Monument,CA,Pacific West ,Pacific,Oregon spotted frog,Rana pretiosa,Amphibians,Threatened
428,Dinosaur National Monument,"CO, UT",Intermountain ,Southwest,Bonytail chub,Gila elegans,Fishes,Endangered
429,Dinosaur National Monument,"CO, UT",Intermountain ,Southwest,Colorado pikeminnow (=squawfish),Ptychocheilus lucius,Fishes,Endangered
430,Dinosaur National Monument,"CO, UT",Intermountain ,Southwest,Humpback chub,Gila cypha,Fishes,Endangered
431,Dinosaur National Monument,"CO, UT",Intermountain ,Southwest,Mexican spotted owl,Strix occidentalis lucida,Birds,Threatened
432,Dinosaur National Monument,"CO, UT",Intermountain ,Southwest,Razorback sucker,Xyrauchen texanus,Fishes,Endangered
433,Dinosaur National Monument,"CO, UT",Intermountain ,Southwest,Ute ladies'-tresses,Spiranthes diluvialis,Flowering Plants,Threatened
434,Dinosaur National Monument,"CO, UT",Intermountain ,Southwest,Yellow-billed Cuckoo,Coccyzus americanus,Birds,Threatened
435,Dinosaur National Monument,CO,Intermountain ,Southwest,Preble's meadow jumping mouse,Zapus hudsonius preblei,Mammals,Threatened
436,Dry Tortugas National Park,FL,Southeast,Sun Coast,Elkhorn coral,Acropora palmata,Corals,Threatened
437,Dry Tortugas National Park,FL,Southeast,Sun Coast,Roseate tern,Sterna dougallii dougallii,Birds,Threatened
438,Dry Tortugas National Park,FL,Southeast,Sun Coast,American chaffseed,Schwalbea americana,Flowering Plants,Endangered
439,Dry Tortugas National Park,FL,Southeast,Sun Coast,Blodgett's silverbush,Argythamnia blodgettii,Flowering Plants,Threatened
440,Dry Tortugas National Park,FL,Southeast,Sun Coast,Everglades bully,Sideroxylon reclinatum ssp. austrofloridense,Flowering Plants,Threatened
441,Dry Tortugas National Park,FL,Southeast,Sun Coast,Florida prairie-clover,Dalea carthagenensis floridana,Flowering Plants,Endangered
442,Dry Tortugas National Park,FL,Southeast,Sun Coast,Leatherback sea turtle,Dermochelys coriacea,Reptiles,Endangered
443,Dry Tortugas National Park,FL,Southeast,Sun Coast,Staghorn coral,Acropora cervicornis,Corals,Threatened
444,Dry Tortugas National Park,FL,Southeast,Sun Coast,Finback whale,Balaenoptera physalus,Mammals,Endangered
445,Dry Tortugas National Park,FL,Southeast,Sun Coast,Gray bat,Myotis grisescens,Mammals,Endangered
446,Dry Tortugas National Park,FL,Southeast,Sun Coast,Big Pine partridge pea,Chamaecrista lineata keyensis,Flowering Plants,Endangered
447,Dry Tortugas National Park,FL,Southeast,Sun Coast,Florida pineland crabgrass,Digitaria pauciflora,Flowering Plants,Threatened
448,Dry Tortugas National Park,FL,Southeast,Sun Coast,Key tree cactus,Pilosocereus robinii,Flowering Plants,Endangered
449,Dry Tortugas National Park,FL,Southeast,Sun Coast,Sand flax,Linum arenicola,Flowering Plants,Endangered
450,Dry Tortugas National Park,FL,Southeast,Sun Coast,Wedge spurge,Chamaesyce deltoidea serpyllum,Flowering Plants,Endangered
451,Ebey's Landing National Historical Reserve,WA,Pacific West ,Northwest,Chinook salmon,Oncorhynchus (=Salmo) tshawytscha,Fishes,Endangered
452,Ebey's Landing National Historical Reserve,WA,Pacific West ,Northwest,Taylor's (=whulge) Checkerspot,Euphydryas editha taylori,Insects,Endangered
453,Ebey's Landing National Historical Reserve,WA,Pacific West ,Northwest,Orca whale,Orcinus orca,Mammals,Endangered
454,Ebey's Landing National Historical Reserve,WA,Pacific West ,Northwest,golden paintbrush,Castilleja levisecta,Flowering Plants,Threatened
455,Effigy Mounds National Monument,IA,Midwest,Midwest,Iowa Pleistocene snail,Discus macclintocki,Snails,Endangered
456,Effigy Mounds National Monument,IA,Midwest,Midwest,Rusty patched bumble bee,Bombus affinis,Insects,Endangered
457,Effigy Mounds National Monument,IA,Midwest,Midwest,Sheepnose Mussel,Plethobasus cyphyus,Clams and Mussels,Endangered
458,Effigy Mounds National Monument,IA,Midwest,Midwest,Spectaclecase (mussel),Cumberlandia monodonta,Clams and Mussels,Endangered
459,Effigy Mounds National Monument,IA,Midwest,Midwest,Northern wild monkshood,Aconitum noveboracense,Flowering Plants,Threatened
460,Eleanor Roosevelt National Historic Site,NY,Northeast,Northeast,Dwarf wedgemussel,Alasmidonta heterodon,Clams and Mussels,Endangered
461,Eugene O'Neill National Historic Site,CA,Pacific West ,Pacific,Alameda whipsnake (=striped racer),Masticophis lateralis euryxanthus,Reptiles,Threatened
462,Eugene O'Neill National Historic Site,CA,Pacific West ,Pacific,Menzies' wallflower,Erysimum menziesii,Flowering Plants,Endangered
463,Everglades National Park,FL,Southeast,Sun Coast,American crocodile,Crocodylus acutus,Reptiles,Threatened
464,Everglades National Park,FL,Southeast,Sun Coast,Bartram's hairstreak Butterfly,Strymon acis bartrami,Insects,Endangered
465,Everglades National Park,FL,Southeast,Sun Coast,Cape Sable seaside sparrow,Ammodramus maritimus mirabilis,Birds,Endangered
466,Everglades National Park,FL,Southeast,Sun Coast,Cape Sable Thoroughwort,Chromolaena frustrata,Flowering Plants,Endangered
467,Everglades National Park,FL,Southeast,Sun Coast,Crenulate lead-plant,Amorpha crenulata,Flowering Plants,Endangered
468,Everglades National Park,FL,Southeast,Sun Coast,Deltoid spurge,Chamaesyce deltoidea ssp. deltoidea,Flowering Plants,Endangered
469,Everglades National Park,FL,Southeast,Sun Coast,Everglade snail kite,Rostrhamus sociabilis plumbeus,Birds,Endangered
470,Everglades National Park,FL,Southeast,Sun Coast,Florida leafwing Butterfly,Anaea troglodyta floridalis,Insects,Endangered
471,Everglades National Park,FL,Southeast,Sun Coast,Florida panther,Puma (=Felis) concolor coryi,Mammals,Endangered
472,Everglades National Park,FL,Southeast,Sun Coast,Garber's spurge,Chamaesyce garberi,Flowering Plants,Threatened
473,Everglades National Park,FL,Southeast,Sun Coast,Gopher tortoise,Gopherus polyphemus,Reptiles,Threatened; Candidate
474,Everglades National Park,FL,Southeast,Sun Coast,Miami Blue Butterfly,Cyclargus (=Hemiargus) thomasi bethunebakeri,Insects,Endangered
475,Everglades National Park,FL,Southeast,Sun Coast,Piping Plover,Charadrius melodus,Birds,Endangered; Threatened
476,Everglades National Park,FL,Southeast,Sun Coast,Small's milkpea,Galactia smallii,Flowering Plants,Endangered
477,Everglades National Park,FL,Southeast,Sun Coast,Leatherback sea turtle,Dermochelys coriacea,Reptiles,Endangered
478,Everglades National Park,FL,Southeast,Sun Coast,Loggerhead sea turtle,Caretta caretta,Reptiles,Endangered; Threatened
479,Everglades National Park,FL,Southeast,Sun Coast,Tiny polygala,Polygala smallii,Flowering Plants,Endangered
480,Everglades National Park,FL,Southeast,Sun Coast,West Indian Manatee,Trichechus manatus,Mammals,Threatened
481,Everglades National Park,FL,Southeast,Sun Coast,Wood stork,Mycteria americana,Birds,Threatened
482,Everglades National Park,FL,Southeast,Sun Coast,American chaffseed,Schwalbea americana,Flowering Plants,Endangered
483,Everglades National Park,FL,Southeast,Sun Coast,Blodgett's silverbush,Argythamnia blodgettii,Flowering Plants,Threatened
484,Everglades National Park,FL,Southeast,Sun Coast,Everglades bully,Sideroxylon reclinatum ssp. austrofloridense,Flowering Plants,Threatened
485,Everglades National Park,FL,Southeast,Sun Coast,Florida bristle fern,Trichomanes punctatum ssp. floridanum,Flowering Plants,Endangered
486,Everglades National Park,FL,Southeast,Sun Coast,Florida prairie-clover,Dalea carthagenensis floridana,Flowering Plants,Endangered
487,Everglades National Park,FL,Southeast,Sun Coast,Smalltooth sawfish,Pristis pectinata,Fishes,Endangered
488,Everglades National Park,FL,Southeast,Sun Coast,Stock Island tree snail,Orthalicus reses,Snails,Threatened
489,Everglades National Park,FL,Southeast,Sun Coast,Pineland sandmat,Chamaesyce deltoidea pinetorum,Flowering Plants,Threatened
490,Everglades National Park,FL,Southeast,Sun Coast,Finback whale,Balaenoptera physalus,Mammals,Endangered
491,Everglades National Park,FL,Southeast,Sun Coast,Florida scrub-jay,Aphelocoma coerulescens,Birds,Threatened
492,Everglades National Park,FL,Southeast,Sun Coast,Gray bat,Myotis grisescens,Mammals,Endangered
493,Everglades National Park,FL,Southeast,Sun Coast,Kirtland's Warbler,Setophaga kirtlandii (= Dendroica kirtlandii),Birds,Endangered
494,Everglades National Park,FL,Southeast,Sun Coast,Beach jacquemontia,Jacquemontia reclinata,Flowering Plants,Endangered
495,Everglades National Park,FL,Southeast,Sun Coast,Big Pine partridge pea,Chamaecrista lineata keyensis,Flowering Plants,Endangered
496,Everglades National Park,FL,Southeast,Sun Coast,Carter's small-flowered flax,Linum carteri carteri,Flowering Plants,Endangered
497,Everglades National Park,FL,Southeast,Sun Coast,Florida brickell-bush,Brickellia mosieri,Flowering Plants,Endangered
498,Everglades National Park,FL,Southeast,Sun Coast,Florida pineland crabgrass,Digitaria pauciflora,Flowering Plants,Threatened
499,Everglades National Park,FL,Southeast,Sun Coast,Johnson's seagrass,Halophila johnsonii,Flowering Plants,Threatened
500,Everglades National Park,FL,Southeast,Sun Coast,Key tree cactus,Pilosocereus robinii,Flowering Plants,Endangered
501,Everglades National Park,FL,Southeast,Sun Coast,Okeechobee gourd,Cucurbita okeechobeensis ssp. okeechobeensis,Flowering Plants,Endangered
502,Everglades National Park,FL,Southeast,Sun Coast,Sand flax,Linum arenicola,Flowering Plants,Endangered
503,Everglades National Park,FL,Southeast,Sun Coast,Wedge spurge,Chamaesyce deltoidea serpyllum,Flowering Plants,Endangered
504,Everglades National Park,FL,Southeast,Sun Coast,Florida grasshopper sparrow,Ammodramus savannarum floridanus,Birds,Endangered
505,Everglades National Park,FL,Southeast,Sun Coast,Lower Keys marsh rabbit,Sylvilagus palustris hefneri,Mammals,Endangered
506,Everglades National Park,FL,Southeast,Sun Coast,Rice rat,Oryzomys palustris natator,Mammals,Endangered
507,Fire Island National Seashore,NY,Northeast,Northeast,Piping Plover,Charadrius melodus,Birds,Endangered; Threatened
508,Fire Island National Seashore,NY,Northeast,Northeast,Seabeach amaranth,Amaranthus pumilus,Flowering Plants,Threatened
509,Fire Island National Seashore,NY,Northeast,Northeast,Green sea turtle,Chelonia mydas,Reptiles,Endangered; Threatened
510,Fire Island National Seashore,NY,Northeast,Northeast,Leatherback sea turtle,Dermochelys coriacea,Reptiles,Endangered
511,Fire Island National Seashore,NY,Northeast,Northeast,Finback whale,Balaenoptera physalus,Mammals,Endangered
512,Florissant Fossil Beds National Monument,CO,Intermountain ,Southwest,Whooping crane,Grus americana,Birds,Endangered; Experimental
513,Florissant Fossil Beds National Monument,CO,Intermountain ,Southwest,Preble's meadow jumping mouse,Zapus hudsonius preblei,Mammals,Threatened
514,Fort Caroline National Memorial,FL,Southeast,Sun Coast,West Indian Manatee,Trichechus manatus,Mammals,Threatened
515,Fort Caroline National Memorial,FL,Southeast,Sun Coast,American chaffseed,Schwalbea americana,Flowering Plants,Endangered
516,Fort Caroline National Memorial,FL,Southeast,Sun Coast,Frosted Flatwoods salamander,Ambystoma cingulatum,Amphibians,Threatened
517,Fort Caroline National Memorial,FL,Southeast,Sun Coast,Gopher tortoise,Gopherus polyphemus,Reptiles,Threatened; Candidate
518,Fort Davis National Historic Site,TX,Intermountain,Texas,Little Aguja (=Creek) Pondweed,Potamogeton clystocarpus,Flowering Plants,Endangered
519,Fort Donelson National Battlefield,"KY, TN",Southeast,Southeast,Price's potato-bean,Apios priceana,Flowering Plants,Threatened
520,Fort Donelson National Battlefield,TN,Southeast,Southeast,Pink mucket (pearlymussel),Lampsilis abrupta,Clams and Mussels,Endangered
521,Fort Donelson National Battlefield,TN,Southeast,Southeast,Gray bat,Myotis grisescens,Mammals,Endangered
522,Fort Donelson National Battlefield,TN,Southeast,Southeast,Purple Cat's paw (=Purple Cat's paw pearlymussel),Epioblasma obliquata obliquata,Clams and Mussels,Endangered; Experimental
523,Fort Frederica National Monument,GA,Southeast,Southeast,Gopher tortoise,Gopherus polyphemus,Reptiles,Threatened; Candidate
524,Fort Frederica National Monument,GA,Southeast,Southeast,Shortnose sturgeon,Acipenser brevirostrum,Fishes,Endangered
525,Fort Laramie National Historic Site,WY,Intermountain,Northern Rockies,Preble's meadow jumping mouse,Zapus hudsonius preblei,Mammals,Threatened
526,Fort Larned National Historic Site,KS,Midwest,Midwest,Whooping crane,Grus americana,Birds,Endangered; Experimental
527,Fort Matanzas National Monument,FL,Southeast,Sun Coast,Anastasia Island beach mouse,Peromyscus polionotus phasma,Mammals,Endangered
528,Fort Matanzas National Monument,FL,Southeast,Sun Coast,Southeastern beach mouse,Peromyscus polionotus niveiventris,Mammals,Threatened
529,Fort Matanzas National Monument,FL,Southeast,Sun Coast,American chaffseed,Schwalbea americana,Flowering Plants,Endangered
530,Fort Matanzas National Monument,FL,Southeast,Sun Coast,Gopher tortoise,Gopherus polyphemus,Reptiles,Threatened; Candidate
531,Fort Monroe National Monument,VA,Northeast,Mid-Atlantic,Cumberland monkeyface (pearlymussel),Quadrula intermedia,Clams and Mussels,Endangered; Experimental
532,Fort Monroe National Monument,VA,Northeast,Mid-Atlantic,Shiny pigtoe,Fusconaia cor,Clams and Mussels,Endangered; Experimental
533,Fort Point National Historic Site,CA,Pacific West ,Pacific,Franciscan manzanita,Arctostaphylos franciscana,Flowering Plants,Endangered
534,Fort Point National Historic Site,CA,Pacific West ,Pacific,Green sea turtle,Chelonia mydas,Reptiles,Endangered; Threatened
535,Fort Point National Historic Site,CA,Pacific West ,Pacific,Menzies' wallflower,Erysimum menziesii,Flowering Plants,Endangered
536,Fort Point National Historic Site,CA,Pacific West ,Pacific,California clapper rail,Rallus longirostris obsoletus,Birds,Endangered
537,Fort Point National Historic Site,CA,Pacific West ,Pacific,California least tern,Sterna antillarum browni,Birds,Endangered
538,Fort Point National Historic Site,CA,Pacific West ,Pacific,green sturgeon,Acipenser medirostris,Fishes,Threatened
539,Fort Point National Historic Site,CA,Pacific West ,Pacific,Short-tailed albatross,Phoebastria (=Diomedea) albatrus,Birds,Endangered
540,Fort Pulaski National Monument,GA,Southeast,Southeast,Frosted Flatwoods salamander,Ambystoma cingulatum,Amphibians,Threatened
541,Fort Pulaski National Monument,GA,Southeast,Southeast,Gopher tortoise,Gopherus polyphemus,Reptiles,Threatened; Candidate
542,Fort Pulaski National Monument,GA,Southeast,Southeast,Pondberry,Lindera melissifolia,Flowering Plants,Endangered
543,Fort Scott National Historic Site,KS,Midwest,Midwest,Mead's milkweed,Asclepias meadii,Flowering Plants,Threatened
544,Fort Smith National Historic Site,AR,Midwest,Southeast,Gray bat,Myotis grisescens,Mammals,Endangered
545,Fort Smith National Historic Site,AR,Midwest,Southeast,Ozark big-eared bat,Corynorhinus (=Plecotus) townsendii ingens,Mammals,Endangered
546,Fort Smith National Historic Site,AR,Midwest,Southeast,American burying beetle,Nicrophorus americanus,Insects,Endangered; Experimental
547,Fort Smith National Historic Site,AR,Midwest,Southeast,Northern Long-Eared Bat,Myotis septentrionalis,Mammals,Threatened 
548,Fort Sumter and Fort Moultrie National Historical Park,SC,Southeast,Southeast,American chaffseed,Schwalbea americana,Flowering Plants,Endangered
549,Fort Sumter and Fort Moultrie National Historical Park,SC,Southeast,Southeast,Kirtland's Warbler,Setophaga kirtlandii (= Dendroica kirtlandii),Birds,Endangered
550,Fort Sumter and Fort Moultrie National Historical Park,SC,Southeast,Southeast,Canby's dropwort,Oxypolis canbyi,Flowering Plants,Endangered
551,Fort Sumter and Fort Moultrie National Historical Park,SC,Southeast,Southeast,Pondberry,Lindera melissifolia,Flowering Plants,Endangered
552,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,VA,Northeast,Mid-Atlantic,Harperella,Ptilimnium nodosum,Flowering Plants,Endangered
553,Freedom Riders National Monument,AL,Southeast,Southeast,Gray bat,Myotis grisescens,Mammals,Endangered
554,Gates of the Arctic National Park & Preserve,AK,Alaska,Alaska,Eskimo curlew,Numenius borealis,Birds,Endangered
555,Gates of the Arctic National Park & Preserve,AK,Alaska,Alaska,green sturgeon,Acipenser medirostris,Fishes,Threatened
556,Gates of the Arctic National Park & Preserve,AK,Alaska,Alaska,Wood Bison,Bison bison athabascae,Mammals,Threatened
557,Gateway Arch National Park,MO,Midwest,Midwest,Decurrent false aster,Boltonia decurrens,Flowering Plants,Threatened
558,Gateway Arch National Park,MO,Midwest,Midwest,Eastern prairie fringed orchid,Platanthera leucophaea,Flowering Plants,Threatened
559,Gateway National Recreation Area,"NY, NJ",Northeast,Northeast,Northeastern beach tiger beetle,Cicindela dorsalis dorsalis,Insects,Threatened
560,Gateway National Recreation Area,"NY, NJ",Northeast,Northeast,Piping Plover,Charadrius melodus,Birds,Endangered; Threatened
561,Gateway National Recreation Area,NY,Northeast,Northeast,Green sea turtle,Chelonia mydas,Reptiles,Endangered; Threatened
562,Gateway National Recreation Area,NY,Northeast,Northeast,Leatherback sea turtle,Dermochelys coriacea,Reptiles,Endangered
563,Gateway National Recreation Area,NY,Northeast,Northeast,Finback whale,Balaenoptera physalus,Mammals,Endangered
564,Gauley River National Recreation Area,WV,Northeast,Mid-Atlantic,Northern Long-Eared Bat,Myotis septentrionalis,Mammals,Threatened
565,Gauley River National Recreation Area,WV,Northeast,Mid-Atlantic,Running buffalo clover,Trifolium stoloniferum,Flowering Plants,Endangered
566,Gauley River National Recreation Area,WV,Northeast,Mid-Atlantic,Sheepnose Mussel,Plethobasus cyphyus,Clams and Mussels,Endangered
567,Gauley River National Recreation Area,WV,Northeast,Mid-Atlantic,Spectaclecase (mussel),Cumberlandia monodonta,Clams and Mussels,Endangered
568,Gauley River National Recreation Area,WV,Northeast,Mid-Atlantic,Virginia spiraea,Spiraea virginiana,Flowering Plants,Threatened
569,Gauley River National Recreation Area,WV,Northeast,Mid-Atlantic,Gray bat,Myotis grisescens,Mammals,Endangered
570,Gauley River National Recreation Area,WV,Northeast,Mid-Atlantic,Virginia big-eared bat,Corynorhinus (=Plecotus) townsendii virginianus,Mammals,Endangered
571,George Washington Carver National Monument,MO,Midwest,Midwest,Gray bat,Myotis grisescens,Mammals,Endangered
572,George Washington Carver National Monument,MO,Midwest,Midwest,Ozark cavefish,Amblyopsis rosae,Fishes,Threatened
573,George Washington Carver National Monument,MO,Midwest,Midwest,Northern Long-Eared Bat,Myotis septentrionalis,Mammals,Threatened 
574,Gila Cliff Dwellings National Monument,NM,Intermountain,Southwest,Mexican spotted owl,Strix occidentalis lucida,Birds,Threatened
575,Gila Cliff Dwellings National Monument,NM,Intermountain,Southwest,Chiricahua leopard frog,Rana chiricahuensis,Amphibians,Threatened
576,Gila Cliff Dwellings National Monument,NM,Intermountain,Southwest,Narrow-headed gartersnake ,Thamnophis rufipunctatus,Reptiles,Threatened
577,Gila Cliff Dwellings National Monument,NM,Intermountain,Southwest,Mexican wolf,Canis lupus baileyi,Mammals,Endangered; Experimental
578,Gila Cliff Dwellings National Monument,NM,Intermountain,Southwest,Spikedace,Meda fulgida,Fishes,Endangered
579,Glacier Bay National Park & Preserve,AK,Alaska,Alaska,Humpback whale,Megaptera novaeangliae,Mammals,Endangered
580,Glacier Bay National Park & Preserve,AK,Alaska,Alaska,Finback whale,Balaenoptera physalus,Mammals,Endangered
581,Glacier Bay National Park & Preserve,AK,Alaska,Alaska,Short-tailed albatross,Phoebastria (=Diomedea) albatrus,Birds,Endangered
