Annual Visitation Report by Years: 1978 to 1979,,,
,,,
,"This report will not correctly export to CSV. Please export to Excel, Word, or PDF if you wish to save this report.",,
,,,
,,Recreational Visits,
,Park Name,1979,Average
,Theodore Roosevelt Inaugural NHS,"15,888","15,888"
,Theodore Roosevelt Island,"72,458","72,458"
,Theodore Roosevelt NP,"591,646","591,646"
,Thomas Edison NHP,"52,999","52,999"
,Thomas Jefferson MEM,"2,328,095","2,328,095"
,Timpanogos Cave NM,"125,080","125,080"
,Tonto NM,"69,847","69,847"
,Tumacacori NHP,"59,013","59,013"
,Tuskegee Institute NHS,"18,913","18,913"
,Tuzigoot NM,"68,733","68,733"
,Valley Forge NHP,"3,107,420","3,107,420"
,Vanderbilt Mansion NHS,"335,275","335,275"
,Vicksburg NMP,"633,951","633,951"
,Virgin Islands NP,"549,732","549,732"
,Voyageurs NP,"195,277","195,277"
,Walnut Canyon NM,"69,729","69,729"
,Washington Monument,"1,304,790","1,304,790"
,Whiskeytown NRA,"1,162,390","1,162,390"
,White House,"1,313,017","1,313,017"
,White Sands NP,"580,814","580,814"
,Whitman Mission NHS,"118,136","118,136"
,William Howard Taft NHS,"4,410","4,410"
,Wilson's Creek NB,"80,559","80,559"
,Wind Cave NP,"457,443","457,443"
,Wolf Trap NP for the Performing Arts,"589,016","589,016"
,Wright Brothers NMEM,"396,322","396,322"
,Wupatki NM,"186,875","186,875"
,Yellowstone NP,"1,892,908","1,892,908"
,Yosemite NP,"2,350,782","2,350,782"
,Zion NP,"1,040,528","1,040,528"
