"This report will not correctly export to CSV. Please export to Excel, Word, or PDF if you wish to save this report.",,,,
,,,,
,Recreational Visits,,,
Lake Mead NRA,"6,155,100","4,965,601","5,219,266","5,446,656"
Lake Meredith NRA,"1,849,425","1,570,790","1,559,283","1,659,833"
Lake Roosevelt NRA,"794,710","833,400","873,754","833,955"
Lassen Volcanic NP,"380,014","394,425","415,045","396,495"
Lava Beds NM,"96,565","87,993","87,038","90,532"
Lewis & Clark NHP,"93,453","101,060","130,765","108,426"
Lincoln Boyhood NMEM,"237,793","218,811","225,590","227,398"
Lincoln Home NHS,"403,236","408,434","402,686","404,785"
Lincoln Memorial,"3,352,343","3,307,585","2,989,487","3,216,472"
Little Bighorn Battlefield NM,"203,795","183,311","252,992","213,366"
Longfellow House Washington's HQ NHS,"17,739","18,819","19,541","18,700"
Lowell NHP,"92,839","274,149","321,762","229,583"
Lyndon B. Johnson NHP,"295,303","317,982","300,685","304,657"
Mammoth Cave NP,"1,384,910","1,495,787","1,404,317","1,428,338"
Manassas NBP,"778,444","797,913","792,371","789,576"
Mesa Verde NP,"473,715","539,257","588,608","533,860"
Minute Man NHP,"956,954","1,005,047","1,047,239","1,003,080"
Montezuma Castle NM,"382,085","413,885","472,306","422,759"
Moores Creek NB,"44,272","41,793","45,059","43,708"
Morristown NHP,"554,064","580,792","561,698","565,518"
Mount Rainier NP,"1,516,703","1,268,256","1,233,671","1,339,543"
Mount Rushmore NMEM,"1,245,425","1,284,888","1,604,991","1,378,435"
Muir Woods NM,"1,227,241","1,311,613","1,264,676","1,267,843"
Natchez Trace PKWY,"9,475,305","10,601,566","11,160,608","10,412,493"
Natural Bridges NM,"78,564","63,594","60,131","67,430"
Navajo NM,"41,341","39,886","39,574","40,267"
Nez Perce NHP,"162,688","169,727","174,997","169,137"
North Cascades NP,"742,997","796,079","829,026","789,367"
Ocmulgee Mounds NHP,"81,572","88,929","84,387","84,963"
Olympic NP,"2,078,843","2,032,418","2,306,032","2,139,098"
Oregon Caves NM & PRES,"130,733","129,090","135,495","131,773"
Organ Pipe Cactus NM,"131,634","148,311","177,750","152,565"
Ozark NSR,"1,453,034","1,428,711","1,361,644","1,414,463"
Padre Island NS,"774,862","765,423","620,782","720,356"
Pea Ridge NMP,"94,197","94,687","105,117","98,000"
Pearl Harbor NMEM,,,"855,847","855,847"
Pecos NHP,"51,476","36,677","44,539","44,231"
Perry's Victory & Intl. Peace MEM,"129,831","145,289","94,885","123,335"
Petersburg NB,"577,283","545,765","536,003","553,017"
Petrified Forest NP,"671,583","683,121","747,832","700,845"
Pictured Rocks NL,"270,376","311,000","329,775","303,717"
Pinnacles NP,"153,717","163,626","155,205","157,516"
Pipe Spring NM,"24,946","25,670","30,008","26,875"
Pipestone NM,"143,995","136,358","149,172","143,175"
Piscataway Park,"137,971","160,912","116,678","138,520"
Point Reyes NS,"1,489,135","1,408,810","1,322,449","1,406,798"
Prince William Forest Park,"499,209","404,358","467,161","456,909"
Pu'uhonua o Honaunau NHP,"409,436","372,212","335,441","372,363"
Pu'ukohola Heiau NHS,"21,737","21,606","24,888","22,744"
Rainbow Bridge NM,"97,066","113,816","114,555","108,479"
Redwood NP,"413,917","471,710","549,461","478,363"
Richmond NBP,"265,793","255,736","284,577","268,702"
Rock Creek Park,"1,156,593","1,059,794","917,310","1,044,566"
Rocky Mountain NP,"2,568,530","2,641,937","2,911,242","2,707,236"
Roger Williams NMEM,"27,788","45,601","2,112","25,167"
Russell Cave NM,"18,526","22,928","21,290","20,915"
Sagamore Hill NHS,"167,509","181,231","179,676","176,139"
Saguaro NP,"566,486","611,317","470,598","549,467"
Saint Croix NSR,"391,683","354,173","355,962","367,273"
Saint-Gaudens NHP,"31,800","39,064","39,675","36,846"
Salem Maritime NHS,"431,799","354,337","418,262","401,466"
Salinas Pueblo Missions NM,"26,728","21,748","20,359","22,945"
San Juan Island NHP,"92,481","103,452","101,620","99,184"
San Juan NHS,"1,458,778","1,601,984","1,522,942","1,527,901"
Saratoga NHP,"97,241","97,910","109,018","101,390"
Saugus Iron Works NHS,"32,803","35,692","38,139","35,545"
Scotts Bluff NM,"173,291","109,520","150,183","144,331"
Sequoia NP,"799,576","862,397","1,083,002","914,992"
Shenandoah NP,"1,521,451","1,699,228","1,819,546","1,680,075"
Shiloh NMP,"318,934","299,615","322,238","313,596"
Sitka NHP,"69,189","72,743","86,984","76,305"
Sleeping Bear Dunes NL,"733,463","689,274","759,014","727,250"
Springfield Armory NHS,"15,607","17,209","19,161","17,326"
Statue of Liberty NM,"1,661,432","1,771,066","1,885,441","1,772,646"
Stones River NB,"122,049","108,157","103,622","111,276"
Sunset Crater Volcano NM,"308,723","312,079","353,815","324,872"
Thaddeus Kosciuszko NMEM,,,"11,220","11,220"
Theodore Roosevelt Birthplace NHS,"13,237","14,876","13,019","13,711"
Theodore Roosevelt Inaugural NHS,"15,888","15,110","16,209","15,736"
Theodore Roosevelt Island,"72,458","60,147","59,284","63,963"
Theodore Roosevelt NP,"591,646","595,734","702,873","630,084"
Thomas Edison NHP,"52,999","44,695","44,514","47,403"
Thomas Jefferson MEM,"2,328,095","1,216,966","1,788,267","1,777,776"
Timpanogos Cave NM,"125,080","107,041","104,497","112,206"
Tonto NM,"69,847","60,328","70,528","66,901"
Tumacacori NHP,"59,013","54,996","59,422","57,810"
Tuskegee Institute NHS,"18,913","10,102","32,066","20,360"
Tuzigoot NM,"68,733","73,804","77,886","73,474"
Upper Delaware S&RR,,"77,764","156,437","117,101"
Valley Forge NHP,"3,107,420","3,219,806","3,330,287","3,219,171"
Vanderbilt Mansion NHS,"335,275","377,751","427,699","380,242"
Vicksburg NMP,"633,951","834,252","689,442","719,215"
Virgin Islands NP,"549,732","547,918","566,528","554,726"
Voyageurs NP,"195,277","266,935","257,490","239,901"
Walnut Canyon NM,"69,729","75,887","83,098","76,238"
Washington Monument,"1,304,790","1,305,760","1,359,061","1,323,204"
Whiskeytown NRA,"1,162,390","1,149,628","1,217,135","1,176,384"
White House,"1,313,017","1,318,583","1,132,992","1,254,864"
White Sands NP,"580,814","511,476","556,494","549,595"
Whitman Mission NHS,"118,136","97,504","97,085","104,242"
William Howard Taft NHS,"4,410","4,746","5,518","4,891"
Wilson's Creek NB,"80,559","75,973","80,047","78,860"
Wind Cave NP,"457,443","473,061","503,424","477,976"
Wolf Trap NP for the Performing Arts,"589,016","619,794","587,926","598,912"
Wright Brothers NMEM,"396,322","428,809","429,618","418,250"
Wupatki NM,"186,875","161,846","183,448","177,390"
Yellowstone NP,"1,892,908","2,000,269","2,521,831","2,138,336"
Yosemite NP,"2,350,782","2,490,282","2,516,893","2,452,652"
Zion NP,"1,040,528","1,123,846","1,288,808","1,151,061"
