Textbox28,Textbox25,Textbox26
"*Documented occurrences of the species in the park or in the adjoining region of the park give reason to suspect that it probably occurs within the park; however, current, verifiable evidence is needed.",NPSpecies - The National Park Service biodiversity database.  IRMA Portal version.https://irma.nps.gov/npspecies.  Accessed 11/22/2022 2:58:46 PM,"The species listed here are assumed to be 'present in park' and have been reviewed.  Evidence, in the form of a current, verifiable reference, voucher or observation, is included in the NPSpecies data system or is readily available.  Those species marked with an asterisk have the designation of 'probably present,' and efforts are underway to obtain current, verifiable evidence to elevate the status to 'present in park.'"

Category1,CategoryGroup,OccurrenceNotPresent,Textbox13,PreferredCommonNames,Textbox14,Textbox1
Mammals,Rodentia/Sciuridae,,Marmota monax,WOODCHUCK,- ,Report Species Count: 90
Mammals,Rodentia/Sciuridae,,Sciurus carolinensis,eastern gray squirrel,- ,Report Species Count: 90
Mammals,Rodentia/Sciuridae,,Sciurus niger,eastern fox squirrel,- Sciurus niger niger,Report Species Count: 90
Mammals,Rodentia/Sciuridae,,Tamias striatus,EASTERN CHIPMUNK,- ,Report Species Count: 90
Mammals,Rodentia/Sciuridae,,Tamiasciurus hudsonicus,RED SQUIRREL,- ,Report Species Count: 90
Mammals,Soricomorpha/Soricidae,,Blarina brevicauda,"Northern Short-tailed Shrew, Big Short-Tailed Shrew",- ,Report Species Count: 90
Mammals,Soricomorpha/Soricidae,,Cryptotis parva,LEAST SHREW,- ,Report Species Count: 90
Mammals,Soricomorpha/Soricidae,,Sorex cinereus,Masked Shrew,- ,Report Species Count: 90
Mammals,Soricomorpha/Soricidae,,Sorex cinereus cinereus,,- ,Report Species Count: 90
Mammals,Soricomorpha/Soricidae,,Sorex dispar,"LONG-TAILED OR ROCK SHREW, LONG-TAILED SHREW",- Sorex dispar blitchi,Report Species Count: 90
Mammals,Soricomorpha/Soricidae,,Sorex fumeus,Smokey Shrew,- ,Report Species Count: 90
Mammals,Soricomorpha/Soricidae,,Sorex hoyi,PYGMY SHREW,- Sorex hoyi winnemana,Report Species Count: 90
Mammals,Soricomorpha/Soricidae,,Sorex longirostris,SOUTHEASTERN SHREW,- ,Report Species Count: 90
Mammals,Soricomorpha/Soricidae,,Sorex palustris,WATER SHREW,- Sorex palustris punctulatus,Report Species Count: 90
Mammals,Soricomorpha/Talpidae,,Condylura cristata,STAR-NOSED MOLE,- Condylura cristata parva,Report Species Count: 90
Mammals,Soricomorpha/Talpidae,,Parascalops breweri,HAIRY-TAILED MOLE,- ,Report Species Count: 90
Mammals,Soricomorpha/Talpidae,,Scalopus aquaticus,EASTERN MOLE,- ,Report Species Count: 90
Mammals,Soricomorpha/Talpidae,,Scalopus aquaticus aquaticus,Eastern Mole,- ,Report Species Count: 90

