Park Name,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,Average
Gila Cliff Dwellings NM,"37,902","37,717","35,013","35,739","44,465","44,404","44,830","52,185","52,316","53,007","57,287","61,105","59,693","62,292","56,933","61,638","51,594","51,539","46,194","49,447","49,765"
Glacier Bay NP & PRES,"90,354","92,057","108,297","130,943","136,877","130,926","148,756","150,270","186,427","203,653","211,424","242,276","250,614","252,265","304,374","347,046","403,512","442,607","384,684","380,114","229,874"
Glacier NP,"1,666,114","2,203,847","1,946,703","1,603,011","1,579,151","1,660,737","1,817,733","1,821,523","1,986,737","2,096,966","2,199,767","2,141,704","2,152,989","1,839,518","1,720,805","1,708,856","1,830,944","1,684,604","1,728,693","1,680,614","1,853,551"
Glen Canyon NRA,"1,733,226","1,873,031","1,971,102","2,078,866","2,438,898","2,858,739","3,529,241","3,452,847","3,074,242","3,181,144","3,587,754","3,584,158","2,797,734","2,511,353","2,505,004","2,430,781","2,442,990","2,639,860","2,568,111","2,340,031","2,679,956"
Golden Gate NRA,"19,897,389","17,604,551","16,731,706","18,355,365","21,582,368","21,767,176","21,759,271","16,656,896","14,650,213","14,695,771","15,309,338","14,695,771","14,695,771","14,695,771","14,043,984","13,803,382","14,046,590","14,048,085","14,486,065","13,457,900","16,349,168"
Golden Spike NHP,"45,163","49,571","34,093","46,387","57,647","44,288","41,417","45,769","48,781","57,159","51,281","51,212","63,338","50,331","60,484","50,989","46,203","47,525","45,273","43,887","49,040"
Grand Canyon NP,"2,293,127","2,248,082","2,173,584","2,711,529","3,035,787","3,513,030","3,859,886","3,966,209","3,776,685","3,886,031","4,203,545","4,575,602","4,364,316","4,557,645","4,537,703","4,791,668","4,239,682","4,575,124","4,460,228","4,104,809","3,793,714"
Grand Portage NM,"36,068","36,261","45,669","46,488","46,782","47,251","74,372","75,673","72,250","67,597","54,292","61,372","70,016","75,810","71,746","69,752","75,227","74,744","92,914","81,428","63,786"
Grand Teton NP,"2,534,029","1,532,035","1,360,898","1,334,483","1,306,322","1,450,791","1,232,691","1,331,659","1,588,253","1,625,752","1,744,636","2,568,689","2,540,699","2,731,015","2,733,439","2,658,762","2,757,060","2,680,025","2,590,624","2,535,108","2,041,849"
Grant-Kohrs Ranch NHS,"27,790","34,292","23,766","23,166","27,029","25,407","22,886","23,415","26,753","26,927","27,853","26,987","26,056","29,395","29,175","28,460","25,374","23,502","20,864","20,188","25,964"
Great Basin NP,"32,264","30,335","37,676","36,343","40,359","63,532","73,559","70,259","65,026","63,864","69,144","91,915","88,024","87,829","86,635","90,760","80,363","90,119","81,045","81,712","68,038"
Great Sand Dunes NP & PRES,"175,273","150,177","141,833","182,713","221,449","225,937","274,286","266,321","272,136","295,070","290,654","294,282","312,225","323,663","309,283","309,855","279,768","286,745","260,789","277,523","257,499"
Great Smoky Mountains NP,"8,177,869","8,435,475","8,508,390","9,319,290","9,836,306","10,209,841","8,770,781","8,333,553","8,151,769","8,654,459","8,931,690","9,283,848","8,628,174","9,080,420","9,265,667","9,965,075","9,989,395","10,283,598","10,175,812","9,197,697","9,159,955"
Greenbelt Park,"277,869","217,141","261,142","332,849","311,053","325,231","301,410","277,387","301,184","249,163","261,340","314,986","377,531","333,010","322,800","420,875","147,634","110,994","169,511","192,154","275,263"
Guadalupe Mountains NP,"140,620","142,736","151,862","147,758","163,313","156,344","178,910","168,872","192,890","200,398","175,120","201,054","203,520","208,972","223,485","231,980","227,924","219,591","198,762","222,307","187,821"
Guilford Courthouse NMP,"219,540","161,504","204,413","179,278","171,010","149,971","170,880","132,553","189,013","199,587","203,723","188,272","212,986","230,513","614,766","663,904","753,943","740,024","822,948","858,125","353,348"
Gulf Islands NS,"3,507,438","4,060,386","5,803,384","9,880,814","7,646,201","4,826,892","5,197,899","4,458,368","4,873,730","4,987,978","5,427,729","5,456,294","5,069,495","4,520,356","2,581,037","4,697,014","4,293,301","4,597,270","4,590,595","4,549,900","5,051,304"
Hagerman Fossil Beds NM,,,,,,,,,,,,,,"12,808","11,793","11,861","13,267","13,070","13,609","12,311","12,674"
Haleakala NP,"771,762","864,289","1,003,821","1,194,651","1,281,219","1,333,900","1,314,683","1,367,761","1,260,601","1,228,332","1,183,124","1,317,433","1,527,329","1,594,596","1,553,344","1,673,561","1,476,842","1,963,187","1,620,083","1,410,974","1,347,075"
Hamilton Grange NMEM,0,"2,653","9,163","18,956","41,623","46,281","45,307","37,347","27,182","40,549","13,916",0,0,0,0,0,"33,406","43,887","41,283","22,971","21,226"
Hampton NHS,"80,111","83,064","82,742","69,970","45,118","26,921","25,434","31,451","29,149","30,101","24,766","30,588","29,459","30,771","30,218","30,234","28,892","20,509","23,401","24,096","38,850"
Harpers Ferry NHP,"682,386","600,823","673,944","566,661","907,747","916,361","697,230","624,168","542,619","489,919","449,341","426,481","394,322","386,247","314,548","340,246","371,094","333,738","317,699","325,156","518,037"
Harry S Truman NHS,,,"100,165","114,686","114,102","101,685","125,700","115,568","120,057","115,240","115,585","69,311","62,854","66,814","65,463","62,039","53,792","48,847","44,182","45,112","85,622"
Hawaii Volcanoes NP,"1,995,397","2,247,974","2,008,608","816,652","898,023","1,006,058","983,007","1,056,188","1,096,816","1,238,653","1,151,661","1,143,741","1,174,289","1,175,028","1,231,557","1,832,087","1,352,373","1,502,855","1,514,636","1,343,286","1,338,444"
Herbert Hoover NHS,"254,334","242,562","226,429","207,845","223,940","218,664","310,220","299,831","308,311","298,135","305,617","223,268","249,833","241,959","241,757","210,736","231,932","199,350","192,815","183,640","243,559"
Home of Franklin D. Roosevelt NHS,"268,269","212,494","205,405","214,011","204,098","190,582","176,015","181,073","169,468","165,769","169,339","179,892","170,912","169,320","193,170","180,103","163,398","135,701","130,368","127,624","180,351"
Homestead NHP,"18,971","22,608","21,849","21,268","38,276","42,671","34,838","37,393","38,101","40,356","42,989","46,537","30,986","32,626","36,384","29,477","38,910","41,510","43,892","52,077","35,586"
Hopewell Culture NHP,"43,606","43,013","42,420","39,632","43,854","46,750","44,592","42,422","38,509","42,322","41,402","33,832","37,042","38,836","37,005","35,075","35,599","29,282","28,617","26,761","38,529"
Hopewell Furnace NHS,"150,975","162,159","149,820","154,027","138,638","128,870","130,420","103,195","99,216","107,238","114,510","109,219","94,416","87,965","91,412","85,936","86,546","74,303","69,152","64,898","110,146"
Horseshoe Bend NMP,"57,539","62,514","62,374","62,549","61,203","47,688","65,467","100,863","98,606","58,475","79,995","91,895","112,862","106,442","95,851","97,087","114,721","111,854","125,372","108,190","86,077"
Hot Springs NP,"1,015,580","1,160,008","1,071,853","1,112,764","1,175,170","1,101,242","1,185,772","1,272,771","1,123,175","1,203,929","1,504,013","1,477,299","1,618,847","1,617,077","1,538,105","1,509,596","1,495,993","1,384,469","1,338,156","1,296,786","1,310,130"
Hovenweep NM,"13,532","13,837","14,322","14,601","15,583","18,579","22,134","26,798","27,260","26,858","27,149","25,633","24,767","27,020","27,526","24,465","23,699","47,593","43,300","37,396","25,103"
Hubbell Trading Post NHS,"161,461","147,318","144,755","120,473","138,811","132,047","148,412","172,873","180,923","208,354","232,513","251,190","237,013","238,338","253,123","264,952","271,353","202,572","216,407","234,631","197,876"
Independence NHP,"4,318,501","4,767,889","4,827,270","4,867,399","4,964,318","7,300,123","5,362,893","5,174,682","3,347,163","3,200,377","3,237,516","3,168,317","3,138,276","3,054,818","3,128,028","3,155,195","2,997,127","3,067,187","3,179,157","2,813,047","3,953,464"
Indiana Dunes NP,"1,066,573","1,510,630","1,560,428","1,800,326","1,676,583","1,576,238","1,885,376","1,791,902","1,919,901","2,058,801","1,973,098","1,763,094","1,699,958","1,696,488","1,526,166","1,483,782","2,108,789","1,748,047","1,820,228","1,735,404","1,720,091"
Isle Royale NP,"13,238","12,928","11,814","16,775","26,122","31,760","26,593","27,133","23,495","22,004","22,728","21,983","24,843","23,470","23,445","21,381","23,932","23,493","21,096","19,431","21,883"
James A. Garfield NHS,,,,,,,,,,,,,,,,"4,074","25,892","24,059","23,629","21,115","19,754"
Jean Lafitte NHP & PRES,"377,209","535,196","849,004","713,850","838,881","1,017,670","1,023,819","1,025,164","948,471","875,411","913,478","957,336","903,955","943,504","849,136","852,674","835,521","874,754","878,759","923,604","856,870"
Jewel Cave NM,"87,417","89,412","101,578","128,650","134,767","141,749","126,635","130,950","137,316","152,329","154,782","132,277","148,372","154,688","144,634","133,115","131,058","134,834","128,960","125,330","130,943"
Jimmy Carter NHP,,,,,,,"22,857","34,520","34,822","34,279","35,132","28,737","28,405","32,261","39,766","44,548","49,629","49,097","52,103","59,716","38,991"
"John D. Rockefeller, Jr. MEM PKWY","1,495,262","1,105,434","1,051,297","1,082,832","1,089,092","1,226,519","796,468","1,153,981","1,446,439","1,576,818","1,583,542","1,307,531","1,475,625","1,518,395","1,471,029","1,402,258","1,395,091","1,380,833","1,210,790","1,180,278","1,297,476"
John Day Fossil Beds NM,"106,123","109,694","101,783","101,566","103,328","117,346","126,928","134,710","98,435","103,941","111,643","131,850","114,927","128,032","120,556","113,057","99,983","99,274","100,522","98,489","111,109"
John F. Kennedy NHS,"16,829","18,269","18,907","17,438","18,632","15,951","15,496","14,640","16,391","13,542","11,345","12,998","11,814","9,250","15,717","13,508","10,924","23,047","12,262","12,244","14,960"
John Muir NHS,"33,015","28,118","32,207","33,954","38,051","33,712","35,923","33,358","26,234","22,680","21,473","29,376","31,044","27,936","28,045","31,534","30,051","30,992","32,538","25,257","30,275"
Johnstown Flood NMEM,"44,183","38,064","56,560","50,796","51,996","69,414","123,253","333,283","156,534","154,553","136,511","133,427","126,239","133,440","141,116","131,225","136,582","120,901","122,323","119,462","118,993"
Joshua Tree NP,"673,201","671,426","663,798","641,172","783,224","830,085","955,246","990,214","1,022,396","1,145,458","1,220,539","1,252,401","1,184,871","1,235,702","1,095,046","1,226,273","1,410,312","1,316,340","1,233,935","1,280,917","1,041,628"
Kalaupapa NHP,,,,,,,,,,,,,,,"62,314","75,962","83,468","57,905","86,989","63,006","71,607"
Kaloko Honokohau NHP,,,,,,,"12,462","17,354","23,580","46,780","42,591","44,481","46,370","49,634","48,836","44,258","56,584","47,328","44,150","54,000","41,315"
Katmai NP & PRES,"14,377","11,182","20,074","25,142","41,663","38,212","45,710","40,247","40,778","41,417","46,196","53,421","55,728",0,,"18,802","45,470","51,399","71,389","67,038","38,329"
Kenai Fjords NP,"16,118","24,048","30,703","35,758","54,296","60,428","59,017","75,557","66,115","107,041","108,130","189,712","209,516","230,657","274,034","306,164","263,948","290,673","254,790","262,353","145,953"
Kennesaw Mountain NBP,"963,835","946,672","913,604","776,340","665,582","749,043","693,389","762,422","784,310","787,400","926,748","929,767","965,883","1,147,958","1,172,130","959,260","1,052,281","1,236,585","1,341,712","1,329,271","955,210"
Kings Canyon NP,"831,044","765,755","937,262","874,456","1,028,785","1,081,172","1,007,695","1,037,349","1,062,867","1,071,022","637,446","636,515","725,930","832,794","502,749","484,718","540,212","559,534","528,987","541,787","784,404"
Kings Mountain NMP,"213,630","224,512","232,275","212,605","221,157","218,080","240,349","228,591","217,011","233,941","230,285","232,688","228,759","229,746","227,709","237,579","253,283","254,158","257,499","267,402","233,063"
Klondike Gold Rush NHP Alaska,"49,688","52,155","61,752","81,954","100,649","102,155","105,590","87,736","103,404","110,597","148,019","403,250","401,034","429,570","480,817","655,858","679,980","693,883","697,051","713,436","307,929"
Klondike Gold Rush NHP Seattle,"53,084","52,551","62,830","59,847","55,561","49,617","64,657","67,182","89,867","108,160","112,136","104,950","103,048","121,752","111,642","116,918","108,093","116,012","124,680","76,030","87,931"
Knife River Indian Villages NHS,"4,858","8,373","7,895","12,391","11,757","16,265","16,912","18,824","12,534","13,845","18,849","17,472","16,929","17,116","15,987","25,206","23,523","32,455","33,048","36,280","18,026"
Kobuk Valley NP,"3,775","2,365","1,075","1,305","1,085",230,"2,275","1,970","2,586","2,795","2,829","2,816","2,781","2,781","2,781","2,781","5,550","6,309","2,646","4,217","2,748"
Korean War Veterans Memorial,,,,,,,,,,,,,,,"863,639","1,285,566","3,336,548","3,249,688","2,923,716","2,961,477","2,436,772"
Lake Chelan NRA,,,,,,,,,0,"58,076","44,446","47,171","38,543","45,049","36,891","34,300","45,779","50,087","51,825","42,548","41,226"
Lake Clark NP & PRES,"10,440","12,332","12,505","12,701","13,611","16,418","18,863","14,879","10,196","4,133","9,233","12,153","12,143","12,698","12,727","9,173","11,335","6,190","6,493","4,397","11,131"
Lake Mead NRA,"5,390,496","5,913,768","6,276,562","6,952,147","7,753,333","8,098,685","8,327,850","8,495,295","8,582,223","8,445,016","9,016,525","8,941,225","9,566,725","9,838,702","9,350,847","8,528,420","8,788,055","9,023,943","8,755,005","8,465,547","8,225,518"
Lake Meredith NRA,"1,909,655","1,844,870","1,944,648","1,597,719","1,406,693","1,280,496","1,321,739","1,274,916","1,358,778","1,280,021","1,296,962","1,480,987","1,535,448","1,470,137","1,676,466","1,683,646","1,636,419","1,779,138","1,615,751","1,248,278","1,532,138"
Lake Roosevelt NRA,"819,328","666,341","622,908","517,471","790,311","1,067,001","1,366,305","1,097,136","1,542,515","1,771,420","1,121,973","1,198,605","1,515,674","1,341,016","1,045,455","1,431,960","1,545,150","1,403,793","1,415,627","1,252,160","1,176,607"
Lassen Volcanic NP,"414,859","429,867","463,275","451,497","439,723","472,431","495,628","466,115","460,917","463,179","468,011","434,264","385,489","351,001","351,632","391,816","318,049","353,756","374,911","376,695","418,156"
Lava Beds NM,"77,705","68,737","65,611","68,254","77,061","75,048","77,555","76,871","72,570","76,150","164,132","178,863","112,349","121,507","108,298","111,733","115,727","135,180","114,337","113,882","100,579"
LBJ Memorial Grove on the Potomac,,,"1,081,095","1,122,489","1,176,096","1,211,526","1,229,295","454,519","615,002","660,651","676,657","625,607","617,094","625,271","489,122","587,734","567,737","537,685","488,094","529,503","738,621"
Lewis & Clark NHP,"149,368","147,208","145,975","159,861","173,778","174,798","203,151","206,821","262,728","279,799","257,179","210,176","193,558","194,410","179,573","199,822","234,227","211,494","214,759","226,137","201,241"
Lincoln Boyhood NMEM,"207,898","216,252","217,844","219,215","212,002","219,075","198,685","211,587","210,377","209,197","212,037","176,591","192,460","135,400","130,805","158,806","149,323","146,914","154,031","146,037","186,227"
Lincoln Home NHS,"432,695","448,078","431,196","431,347","440,775","418,356","606,918","582,589","452,894","509,507","520,940","451,674","461,966","428,202","412,524","442,514","408,051","385,683","367,968","392,214","451,305"
Lincoln Memorial,"3,131,753","3,352,825","3,963,471","3,810,581","3,972,460","4,308,292","2,787,270","1,462,609","1,265,085","1,141,278","1,237,659","1,258,534","1,200,094","1,291,628","1,190,961","1,557,964","4,368,912","4,099,480","4,009,145","3,968,357","2,668,918"
Little Bighorn Battlefield NM,"205,585","221,398","247,695","261,686","275,450","265,046","226,507","225,247","230,891","292,302","328,093","335,330","399,643","409,520","363,841","358,212","366,739","394,098","330,329","334,567","303,609"
Little Rock Central High School NHS,,,,,,,,,,,,,,,,,,,,"21,078","21,078"
Longfellow House Washington's HQ NHS,"17,665","18,566","15,926","19,186","17,746","12,681","12,899","12,836","15,042","15,263","15,949","15,379","12,411","16,241","13,131","17,927","19,542",0,0,0,"13,420"
Lowell NHP,"401,022","437,999","596,304","706,921","802,479","740,875","703,408","735,209","728,112","711,748","733,330","602,173","442,814","495,773","541,515","510,922","554,612","551,208","604,787","723,568","616,239"
Lyndon B. Johnson NHP,"290,524","299,460","276,414","287,622","308,124","330,848","303,214","286,686","193,066","194,220","190,414","184,841","181,555","159,430","136,892","129,667","124,212","122,116","108,728","101,824","210,493"
Maggie L. Walker NHS,,,,"1,428","3,107","4,432","5,419","5,625","5,938","5,241","6,396","9,251","10,269","9,433","8,536","8,411","9,405","9,645","9,514","10,147","7,188"
Mammoth Cave NP,"1,526,676","1,498,503","1,501,450","1,507,939","1,646,673","1,636,340","1,735,610","1,672,840","1,924,538","2,158,195","2,392,858","2,396,234","2,009,935","1,935,709","1,896,829","1,997,658","2,113,992","1,710,983","1,749,268","1,883,580","1,844,791"
Manassas NBP,"668,601","720,745","703,100","723,998","793,274","667,014","778,861","767,138","799,972","905,485","867,606","614,897","917,534","676,087","725,086","1,025,826","972,709","815,338","692,006","822,684","782,898"
Manzanar NHS,,,,,,,,,,,,,,,,,,,"38,010","46,834","42,422"
Marsh-Billings-Rockefeller NHP,,,,,,,,,,,,,,,,,"22,652","44,964","46,289","26,350","35,064"
"Martin Luther King, Jr. NHP",,"174,841","322,723","377,069","582,582","727,919","817,120","1,012,217","1,348,652","2,870,609","3,252,140","765,838","648,982","424,674","774,917","494,002","387,594","499,844","612,065","598,475","878,540"
Martin Van Buren NHS,"10,538","6,888","5,370","5,335","4,943","11,124","12,499","12,087","11,569","15,370","14,482","13,816","13,875","19,402","17,807","23,008","20,087","20,325","14,066","15,950","13,427"
Mary McLeod Bethune Council House NHS,,,,,,,,,,,,,,,,"8,213","7,747","6,577","5,696","5,769","6,800"
Mesa Verde NP,"602,968","604,115","516,865","656,271","658,888","728,566","772,183","600,045","611,375","678,075","742,080","666,054","685,031","663,794","617,360","627,720","604,556","635,736","452,287","513,409","631,869"
Minute Man NHP,"1,037,897","1,015,027","960,840","895,775","1,208,554","945,530","1,001,990","916,595","857,156","769,746","1,091,964","953,630","1,062,161","1,078,632","955,938","828,902","965,253","869,884","1,004,195","1,072,979","974,632"
Mojave NPRES,,,,,,,,,,,,,,,,"378,977","374,378","391,694","444,402","492,745","416,439"
Monocacy NB,,,,,,,,,,0,"9,560","8,251","11,661","21,165","11,312","11,804","15,563","14,834","18,198","18,095","12,768"
Montezuma Castle NM,"454,985","479,722","528,413","545,624","642,027","738,047","802,819","835,802","852,678","876,093","902,010","946,262","923,687","926,631","1,029,336","947,062","853,821","823,489","789,131","710,595","780,412"
Moores Creek NB,"50,192","39,532","32,715","43,908","45,821","41,026","49,020","46,260","51,640","68,511","64,958","58,215","70,225","57,706","58,516","47,139","52,210","81,574","89,872","88,320","56,868"
Morristown NHP,"534,659","626,327","579,845","620,809","534,064","502,039","460,398","643,232","705,870","686,040","729,568","614,744","589,763","583,662","498,256","535,787","543,277","601,925","463,624","464,758","575,932"
Mount Rainier NP,"1,007,300","1,106,306","1,152,411","1,165,640","1,298,457","1,292,027","1,255,618","1,354,302","1,327,101","1,549,412","1,522,057","1,365,213","1,426,244","1,438,227","1,338,961","1,315,773","1,353,793","1,291,397","1,344,833","1,301,103","1,310,309"
Mount Rushmore NMEM,"1,484,300","1,562,559","1,558,872","1,740,793","1,648,737","1,530,714","1,570,137","1,639,986","1,671,673","2,044,522","1,917,134","1,930,053","2,043,988","1,687,529","1,904,991","1,752,014","2,014,485","1,972,289","1,868,876","1,904,119","1,772,389"
Muir Woods NM,"1,171,430","1,167,337","1,220,310","1,377,221","1,399,636","1,628,198","1,598,743","1,578,874","1,479,684","1,518,874","1,623,430","1,517,834","1,406,592","1,295,876","1,410,655","1,546,514","860,378","883,164","884,229","773,624","1,317,130"
Natchez NHP,,,,,,,,,,,"41,036","56,568","53,832","42,121","49,110","51,107","164,011","365,677","334,745","287,499","144,571"
Natchez Trace PKWY,"11,051,140","12,796,122","13,478,261","12,931,973","14,364,008","9,941,614","11,685,582","10,837,879","5,505,253","5,832,697","5,776,191","5,752,880","5,287,801","5,849,061","6,088,610","5,992,978","5,810,094","6,392,961","5,737,183","5,552,351","8,333,232"
National Capital Parks Central,,,,,,,,,,,,,,,,"1,602,145","1,264,132","1,432,569","2,816,985","1,860,851","1,795,336"
National Capital Parks East,,,,,,,,,,,,,,,,"1,746,476","1,609,738","1,100,142","1,263,838","1,343,067","1,412,652"
Natural Bridges NM,"55,209","56,368","59,123","61,179","73,069","88,243","98,559","103,822","101,958","124,596","139,160","151,504","137,214","146,636","136,368","141,573","126,360","129,173","112,573","97,171","106,993"
Navajo NM,"38,927","46,792","38,916","46,702","46,554","62,441","78,861","83,615","76,808","81,488","106,195","97,594","105,234","108,474","100,323","100,466","90,666","78,603","66,133","57,904","75,635"
New Bedford Whaling NHP,,,,,,,,,,,,,,,,,"23,710","246,920","272,506","303,342","211,620"
New Orleans Jazz NHP,,,,,,,,,,,,,,,,,,,"16,711","45,766","31,239"
New River Gorge NP & PRES,,,"231,295","263,021","394,079","436,791","399,722","411,195","378,035","772,172","940,310","1,005,598","1,079,994","1,177,238","1,237,637","1,228,242","1,197,649","1,186,501","1,132,531","1,231,529","816,863"
Nez Perce NHP,"187,747","207,746","222,236","228,300","200,881","238,305","208,329","241,625","199,534","242,112","264,643","249,418","262,355","250,276","263,241","255,539","236,020","187,252","145,970","159,417","222,547"
Nicodemus NHS,,,,,,,,,,,,,,,,,"1,282","18,900","21,691","34,251","19,031"
Ninety Six NHS,,,,"17,908","41,690","39,707","37,763","44,829","45,729","30,025","27,688","31,075","36,155","31,719","37,591","33,976","31,842","27,900","28,492","29,194","33,723"
Noatak NPRES,"4,170","4,605","7,835","7,005","5,570","4,475","5,350","5,280","5,126","5,569","5,466","7,053","7,103","7,103","7,103","7,103","2,100","3,927","2,257","3,912","5,406"
North Cascades NP,"857,016","858,041","637,836","629,234","683,056","651,606","605,967","391,433","456,444","22,796","20,295","21,378","19,323","65,984","27,910","27,203","32,753","21,488","25,704","27,739","304,160"
Obed W&SR,,,,,,"6,722","16,346","21,305","104,902","86,414","186,272","226,077","241,947","232,228","216,699","298,642","249,518","245,899","240,194","193,105","171,085"
Ocmulgee Mounds NHP,"80,904","111,014","148,769","198,596","214,853","164,059","118,336","127,938","122,386","127,832","125,018","115,236","111,146","114,544","129,818","126,029","120,254","118,803","127,705","118,565","131,090"
Olympic NP,"2,478,739","2,410,722","2,759,011","2,532,145","2,940,034","2,822,850","2,959,122","2,737,611","2,794,903","2,759,673","3,030,195","2,679,598","3,381,573","3,658,615","3,348,723","3,846,709","3,577,007","3,364,266","3,327,722","3,416,069","3,041,264"
Oregon Caves NM & PRES,"115,045","114,160","118,583","93,993","101,833","102,944","117,068","103,325","99,158","99,061","86,097","97,223","97,286","103,056","98,383","84,500","86,476","91,129","89,230","87,175","99,286"
Organ Pipe Cactus NM,"151,934","205,090","182,011","175,581","219,912","247,089","240,253","216,814","218,421","228,842","260,677","251,776","274,757","412,453","399,721","168,169","182,126","156,107","258,306","329,028","238,953"
Ozark NSR,"1,449,168","1,408,642","1,429,268","1,358,900","1,351,018","1,280,744","1,546,702","1,580,800","1,739,597","2,304,761","1,649,662","1,390,130","1,471,313","1,519,853","1,475,942","1,602,504","1,547,989","1,536,301","1,568,758","1,488,355","1,535,020"
Padre Island NS,"731,218","630,165","613,386","669,078","708,932","605,977","587,283","586,235","593,255","972,122","848,073","766,391","915,596","755,817","840,236","677,492","707,999","630,562","759,596","656,873","712,814"
Pea Ridge NMP,"105,296","113,930","124,282","118,613","131,161","98,688","108,075","104,612","109,972","103,034","113,762","89,688","90,407","106,513","90,839","72,016","80,000","95,410","76,495","77,583","100,519"
Pearl Harbor NMEM,"1,039,050","1,044,752","1,193,987","1,174,573","1,281,356","1,387,343","1,322,849","1,370,153","1,389,810","1,488,960","1,535,881","1,449,997","1,453,948","1,373,331","1,415,855","1,404,684","1,358,699","1,402,418","1,444,904","1,436,006","1,348,428"
Pecos NHP,"38,926","39,371","37,514","44,616","44,808","45,320","48,595","44,632","45,316","47,111","47,809","43,410","39,517","41,090","40,400","33,862","30,172","37,886","37,127","32,718","41,010"
Pennsylvania Avenue NHS,,,,,"310,693","46,096","247,231","241,631","214,309","230,629","224,063","226,479","245,821","212,277","212,260","224,689","265,575","270,211","278,472","225,962","229,775"
Perry's Victory & Intl. Peace MEM,"138,841","156,293","138,615","154,983","155,127","143,164","140,645","164,390","176,909","195,001","167,609","183,789","186,172","187,700","197,506","174,445","185,679","179,542","164,223","164,402","167,752"
Petersburg NB,"550,783","553,208","532,643","526,073","524,827","460,280","442,326","370,735","250,289","293,874","299,146","254,617","218,561","200,992","171,312","177,325","155,993","148,676","171,099","161,999","323,238"
Petrified Forest NP,"710,619","708,512","714,761","736,659","761,257","758,082","857,031","824,141","844,592","874,521","930,031","936,429","922,927","935,065","829,495","823,266","816,506","666,978","605,192","583,904","791,998"
Petroglyph NM,,,,,,,,,,,"68,065","66,870","85,869","88,196","90,533","92,209","77,537","72,604","61,170","60,608","76,366"
Pictured Rocks NL,"356,415","441,271","407,697","397,884","406,619","474,934","553,774","565,242","561,973","704,894","583,110","610,811","581,281","462,687","403,684","413,963","455,120","442,916","422,683","421,312","483,414"
Pinnacles NP,"171,026","170,631","166,258","191,578","198,236","204,705","212,094","218,601","214,268","192,610","191,683","194,757","172,642","177,527","164,465","171,971","94,639","164,854","162,110","178,243","180,645"
Pipe Spring NM,"30,155","28,237","28,635","30,083","33,578","35,648","40,447","42,287","46,442","55,271","56,199","52,436","47,837","46,423","44,817","66,624","62,986","64,735","51,993","50,783","45,781"
Pipestone NM,"134,782","133,831","129,064","131,204","138,993","117,053","105,190","109,198","106,623","120,419","124,075","107,292","116,374","104,007","96,157","87,907","91,785","92,605","92,391","88,512","111,373"
Piscataway Park,"118,545","69,712","58,078","58,608","76,425","87,658","56,157","181,106","270,008","164,463","213,494","139,165","133,758","147,541","194,494","245,228","233,571","239,008","201,177","251,261","156,973"
Point Reyes NS,"1,344,582","1,424,751","2,032,238","1,991,615","2,053,399","2,126,790","2,241,850","2,204,407","2,369,083","2,396,904","2,579,949","2,561,234","2,466,532","2,208,369","2,272,398","2,505,547","2,477,409","2,300,631","2,325,336","2,222,762","2,205,289"
President's Park,,,,,,,,,,,,,,,,"1,846,879","1,333,875","1,363,332","1,219,143","1,401,108","1,432,867"
Prince William Forest Park,"439,724","419,793","406,832","431,922","449,660","418,145","358,823","305,127","290,457","290,726","303,909","256,612","232,766","239,320","239,369","223,655","162,176","145,993","175,581","217,721","300,416"
Pu'uhonua o Honaunau NHP,"345,920","347,840","383,120","394,844","432,400","415,580","392,537","414,380","392,366","401,540","434,110","424,819","454,457","436,654","441,828","478,023","492,210","435,810","419,518","402,071","417,001"
Pu'ukohola Heiau NHS,"33,706","40,719","44,953","48,014","56,424","54,945","53,248","59,754","63,398","70,514","48,792","42,945","44,295","45,649","46,593","46,584","57,364","58,317","54,256","54,745","51,261"
Rainbow Bridge NM,"172,126","161,551","177,971","177,038","283,597","210,708","238,307","238,307","255,420","258,346","256,158","211,254","298,651","346,151","325,562","179,791","195,916","234,550","197,614","189,750","230,438"
Redwood NP,"467,126","473,711","467,155","505,791","567,849","610,897","677,135","654,115","348,458","366,280","387,781","421,027","475,033","552,464","426,938","382,488","383,188","369,726","383,253","388,352","465,438"
Richmond NBP,"300,170","312,786","304,487","305,667","302,470","328,854","341,942","366,848","428,667","475,786","473,096","92,839","82,827","85,371","77,807","77,707","82,187","87,957","90,422","108,244","236,307"
Rio Grande W&SR,,,,702,805,743,822,662,525,628,962,470,693,493,498,489,462,678,909,"1,086",684
Rock Creek Park,"1,764,535","2,360,791","1,492,638","1,891,539","2,188,249","1,724,665","1,564,453","2,049,651","2,204,125","2,155,770","1,971,419","2,146,546","2,332,045","2,049,141","1,873,822","2,001,085","2,015,825","1,998,719","2,039,559","2,185,813","2,000,520"
Rocky Mountain NP,"2,564,116","2,599,006","2,231,448","2,248,854","2,408,234","2,531,864","2,544,211","2,502,915","2,647,323","2,751,781","2,788,868","2,780,342","2,968,450","2,878,169","2,923,755","2,965,354","3,035,422","3,186,323","3,185,392","3,139,685","2,744,076"
Roger Williams NMEM,"14,353","15,664","15,817","14,480","18,176","21,875","20,979","18,953","20,296","107,601","48,343","50,389","42,811","38,318","49,513","52,006","57,155","60,916","56,240","51,816","38,785"
